days "AB magnitudes"
1.38111111111 46.8799178813
1.39944444444 35.2074008993
1.41777777778 34.6389134274
1.43611111111 34.6749608209
1.45444444444 34.6711682422
1.47277777778 34.5898508456
1.49111111111 34.5584173496
1.50944444444 34.5240053958
1.52777777778 34.4391781765
1.54611111111 34.4187133535
1.56444444444 34.3282127729
1.58277777778 34.3220117444
1.60123842593 34.3134827798
1.61957175926 34.2800862305
1.63777777778 34.2629602292
1.65623842593 34.2431620129
1.67444444444 34.2202709958
1.69290509259 34.1919428685
1.71123842593 34.163160773
1.72944444444 34.1239755403
1.74777777778 34.0839214858
1.76611111111 34.0941493391
1.78457175926 34.0642904332
1.80277777778 34.056598158
1.82123842593 34.0041047961
1.83944444444 33.9879352494
1.85790509259 33.9980968884
1.87611111111 33.9451257466
1.89444444444 33.9124008353
1.91277777778 33.9004023483
1.93123842593 33.8690567568
1.94944444444 33.8614094428
1.96790509259 33.8304540543
1.98623842593 33.8413985296
2.00457175926 33.7976647664
2.02290509259 33.7976596006
2.04123842593 33.7632658414
2.05957175926 33.7499124693
2.07777777778 33.7314422915
2.09611111111 33.7189836146
2.11444444444 33.6872632243
2.13290509259 33.6886648196
2.15111111111 33.6616723189
2.16944444444 33.6580120644
2.18777777778 33.6492875643
2.20623842593 33.6088065655
2.22444444444 33.6144677907
2.24290509259 33.5665892153
2.26123842593 33.5735621887
2.27957175926 33.569029277
2.29777777778 33.5124926515
2.38460648148 33.4653819755
2.47461805556 33.3769590757
2.56844907407 33.3468171874
2.66520833333 33.2703732394
2.76578703704 33.2653116073
2.87069444444 33.2219805003
2.97903935185 33.2116483984
3.09184027778 33.2072429965
3.20858796296 33.1561737718
3.32953703704 33.1718344572
3.4555787037 33.1106960052
3.58594907407 33.0683844327
3.72103009259 33.0573530953
3.86158564815 33.0202094328
4.008125 32.9698021003
4.15962962963 32.9767928406
4.31584490741 32.8951545135
4.47982638889 32.8613595044
4.64826388889 32.8489206628
4.82446759259 32.8426825413
5.00665509259 32.7985227331
5.19546296296 32.756691349
5.39140046296 32.7236547802
5.59497685185 32.7030959167
5.80657407407 32.6518339623
6.02581018519 32.5969805853
6.25421296296 32.5567332857
6.49038194444 32.5127707274
6.73508101852 32.4722013723
6.98958333333 32.4438259093
7.2540162037 32.4006983997
7.5272337963 32.3653866354
7.87047453704 32.3233703381
8.10804398148 32.275929088
8.41283564815 32.2400192021
8.7303587963 32.1925243819
9.06023148148 32.148765651
9.4024537037 32.1050728106
9.75842592593 32.0832715757
10.1267476852 32.0706083485
10.5092013889 32.0887592227
10.9056597222 32.0854221238
11.3194328704 32.2349392874
11.7458101852 32.230075121
12.1897569444 32.2323049608
12.6512731481 32.2187001652
13.1274305556 32.2073273384
13.6239583333 32.1962039778
14.1395833333 32.1866101288
14.6743055556 32.1808310327
15.2255787037 32.1860673955
15.8023148148 32.204170833
16.3994212963 32.231678775
17.0168981481 32.247255262
17.6611111111 32.2672467091
18.3346064815 32.2845691529
19.0335648148 32.3251344982
19.7554398148 32.3255297163
20.5027777778 32.3161576611
21.2743055556 32.3254019574
22.0712962963 32.3764907451
22.9166666667 32.4100397496
23.7633101852 32.402533483
24.6583333333 32.417996047
25.6030092593 32.432266975
26.5731481481 32.4477150856
27.56875 32.4690777652
28.6127314815 32.4675564494
29.6834490741 32.4540814038
30.8025462963 32.494171595
31.9725694444 32.5340912291
33.1935185185 32.581775902
34.4386574074 32.6216279336
35.7334490741 32.6087447951
37.1288194444 32.6505572951
38.5292824074 32.7146931917
39.934837963 32.7626882161
41.4918981481 32.8060703798
43.0515046296 32.8391072069
44.6887731481 32.8938024644
46.328587963 32.9337055158
48.1199074074 32.9751640401
49.9150462963 33.0074186917
51.7878472222 33.0626869315
53.7383101852 33.1534053486
55.7677083333 33.2157373314
57.8760416667 33.298823304
60.062037037 33.387551042
62.3295138889 33.4848934336
64.6759259259 33.6044640497
67.1038194444 33.7068787262
69.6883101852 33.8795137572
72.2778935185 34.0916945316
75.0253472222 34.3371889202
77.8555555556 34.6486891095
80.7685185185 35.0020725942
83.8418981481 35.4587803167
86.9993055556 36.0558899175
90.3196759259 37.0119286467
93.7240740741 38.166078453
98.3761574074 41.6198938941
102.221064815 42.7037469381
106.079976852 45.1250433133
109.94525463 47.0066040542
113.842361111 49.758156977
117.722916667 53.2233509252
121.609837963 57.3747073022
127.696759259 64.5540479768
131.949074074 70.3951735107
136.417824074 76.3793617573
141.688657407 89.5650173111
147.46875 125.342390068
153.287037037 127.499256995
159.041666667 130.019572234
164.74537037 132.54821434
170.93287037 134.699389153
177.820601852 137.088570941
184.975694444 139.479244693
192.15625 141.742601502
199.362268519 144.277007486
206.581018519 146.791078549
213.837962963 149.042146419
221.107638889 151.495799287
228.402777778 153.933071489
239.377314815 157.364121391
247.538194444 159.633342147
257.086805556 161.811317601
266.826388889 163.780585629
276.578703704 166.098581867
286.356481481 168.333352119
296.159722222 170.590001986
310.902777778 173.895430798
320.756944444 176.183153414
330.636574074 178.489308959
345.494212963 181.808386885
360.390046296 185.233693986
370.358796296 187.484233614
385.331018519 190.783281324
400.354166667 194.179192586
415.415509259 197.512736644
430.527777778 200.709529652
445.678240741 204.001276996
465.946759259 208.313604315
481.186342593 211.545712092
501.582175926 215.811665246
516.936342593 219.039897703
537.446759259 223.339707066
558.046296296 227.59365621
578.709490741 231.851651179
599.436342593 236.104598492
625.434027778 241.386039257
646.313657407 245.605989329
672.502314815 250.860616037
698.780092593 256.090059499
725.172453704 261.27036339
751.641203704 266.436843138
778.224537037 271.581834072
804.884259259 276.684491021
837.005787037 282.763519598
869.241898148 288.705506537
901.618055556 294.303773267
934.108796296 299.402869626
972.175925926 304.524731377
1010.40856481 308.992494849
1043.29398148 312.701068548
1087.33217593 317.741500983
1126.02314815 322.288340713
1170.41782407 327.640434317
1215.0162037 333.056838941
1259.79282407 338.261575556
1304.72222222 342.92983064
1355.52083333 347.753405189
1406.57407407 352.53663813
1458.13657407 357.336577927
1511.6087963 362.682758929
1573.22916667 369.126683587
1630.90277778 374.776643662
1690.61342593 379.592223796
1759.49074074 384.871786924
1824.03935185 390.00854364
1890.75231481 395.705326993
1960.01157407 402.120091458
2039.96527778 408.964198226
2114.69907407 413.753846289
2192.2337963 419.019680585
2281.6087963 426.070885333
2365.25462963 433.614412449
2451.8287037 438.800244377
2541.71296296 444.261532953
2645.34722222 453.108150782
2742.2337963 459.119759395
2842.8125 465.043252613
2946.95601852 473.946552134
3067.1412037 482.187574261
3179.56018519 488.369870701
