magnification abell383 abell1423 abell209 abell2261 abell611 clj1226 macs0329 macs0416 macs0429 macs0647 macs0717 macs0744 macs1115 macs1149 macs1206 macs1311 macs1423 macs1720 macs1931 macs2129 ms2137 rxj1347 rxj1532 rxj2129 rxj2248
1.0 104879.231617 184055.948553 228445.966182 187266.86492 215304.571694 146679.428559 157456.735 80681.1686391 177736.718088 199967.861009 129303.551111 201431.344676 178487.321377 48715.664329 200580.907206 174139.50524 91605.226614 191359.680089 182671.352246 202979.360725 182450.119285 176174.217452 113667.761175 216560.517508 137946.56553
2.0 7357.48582463 12792.5309711 14758.2082925 29673.47425 20008.1476823 21836.5912621 28967.8574721 19817.6128809 15373.1254908 34766.9161711 57150.6027293 22950.9393429 20686.7947611 25206.4941182 21605.8465113 16958.6247109 16529.9908185 14057.9386042 22512.6213672 25817.468406 16770.3734361 34725.1586177 14684.2348547 14345.8847633 32641.149068
3.0 2015.5387626 3564.68175494 3946.85510907 11090.3446249 6208.02771851 8066.31731151 11609.1068689 8934.57459458 4683.10977585 13361.4213281 31702.6611328 7605.31490595 6990.13065971 15229.895468 7072.56340417 5353.42258831 6511.57455258 4036.26153461 7636.61987263 8972.69458943 5142.8148076 14121.19698 5303.80783825 3902.16996781 14350.8828732
4.0 885.796920557 1596.95994591 1719.93609715 5711.60171027 2934.25537494 4156.56813586 6234.6562398 5119.12468928 2201.60112584 6953.75586902 20013.8690222 3692.76871905 3453.5088882 10174.2714933 3430.14047552 2551.35150461 3450.90758102 1845.31017649 3742.34225724 4478.7904731 2406.11431582 7598.19964846 2753.31151981 1722.49277729 8076.27556263
5.0 491.05442539 901.202386869 951.080657212 3472.70845265 1707.29573427 2539.08435366 3899.38456651 3335.7074373 1279.82301754 4243.91712287 13718.9600252 2172.75236284 2063.08540337 7267.35963979 2023.81431329 1491.00292497 2136.15429964 1057.39681531 2210.67843445 2684.19517201 1387.7297508 4741.69728736 1711.81787227 962.45458729 5192.24178276
6.0 311.655099424 581.125884722 603.721331108 2335.41670129 1121.86502732 1718.10055686 2676.3612955 2355.21773556 841.660883906 2856.10426347 9956.20178422 1432.85050894 1378.87544044 5443.95839101 1340.40186215 982.039618603 1454.23721096 690.23665757 1460.3103142 1793.86831599 904.904185414 3242.68902045 1183.41870935 616.303778915 3627.88511176
7.0 215.858178773 408.202809135 418.764247851 1680.12928926 797.688473256 1244.22878455 1955.21767098 1756.63765224 599.342335625 2053.09968344 7535.03875088 1018.39560385 991.798740212 4225.75569723 957.377865354 699.094875858 1055.45856998 489.806203287 1038.54148297 1288.05430186 639.073254885 2359.42034855 876.65720069 430.727013081 2683.41649217
8.0 158.837411612 304.139965471 308.795127428 1268.2903671 599.170884744 945.486171528 1493.67514219 1363.40582623 450.944619387 1547.43539994 5889.18293654 762.941947909 751.039491803 3372.06971569 720.881135626 525.361749024 802.040432879 368.132302227 778.111754716 972.83383062 477.131585765 1795.26251237 681.490032238 319.729454067 2068.72947707
9.0 122.150762394 236.497969286 238.045566926 992.486589345 468.480889556 744.662099809 1180.00112873 1090.67382659 353.1720514 1208.59675662 4721.70747026 594.212111069 590.673301256 2751.00295952 564.290115407 410.77666491 630.869634439 288.443842662 605.952826319 762.765146781 371.029134894 1412.88625507 548.837655483 247.93773349 1645.79266083
10.0 97.1290908121 189.920980087 189.76175697 798.625092771 377.635051261 602.916060881 956.819307518 893.446437919 285.124983906 970.490142434 3864.92226096 476.783428117 478.190213698 2285.33109788 454.999576694 331.024783814 509.733687372 233.20528188 486.109562585 615.483303903 297.599842071 1141.6456321 454.068921305 198.706568072 1342.04510543
11.0 79.2735539319 156.385916234 155.269837513 657.070973775 311.759031311 498.967349706 792.17901107 746.010486688 235.709561659 796.769315317 3218.41308114 391.65250847 396.047426975 1927.39081278 375.525410593 273.14443122 420.793883796 193.195846609 399.239690154 508.041111039 244.571581787 942.182683051 383.683372175 163.382787093 1116.34138644
12.0 66.0642120075 131.369392039 129.718723809 550.485021897 262.350345118 420.353932438 667.12434037 632.78220682 198.588539027 666.114585546 2719.13065861 327.883014281 334.093411383 1646.4688725 315.803633805 229.709471051 353.520206201 163.187433005 334.190917825 427.125083993 204.951518881 791.156282454 329.757489021 137.108831034 943.917605362
13.0 56.0011724227 112.162133625 110.22368197 468.172006418 224.258895089 359.378152743 569.821328236 543.857651567 169.924037747 565.353990815 2325.90272239 278.817905497 286.116512613 1422.05157643 269.704253064 196.213486009 301.369317284 140.032780407 284.166214286 364.574567471 174.51656939 674.00903729 287.379742957 116.98625335 809.134002144
14.0 48.1464144769 97.059577755 94.9815023494 403.24255807 194.214233093 311.072746486 492.566351512 472.691097233 147.278499187 485.994456226 2010.94033093 240.214758907 248.138452474 1240.01551574 233.31693798 169.790505515 260.099818071 121.742649439 244.830451228 315.157273206 150.592499196 581.277350775 253.366621028 101.197556642 701.71266249
15.0 41.8887254186 84.9446167686 82.8173994065 351.095109224 170.056360135 272.113220991 430.165828587 414.811685736 129.041339331 422.360476209 1754.95113024 209.264656106 217.512708795 1090.38064984 204.049533536 148.54536184 226.863521035 107.007873794 213.311976808 275.390329393 131.417794137 506.591466998 225.576524583 88.5551686743 614.669989674
16.0 36.8158174111 75.0595364965 72.9388540339 308.560220754 150.310610868 240.204684138 379.012728781 367.078979969 114.112320847 370.54243808 1544.21109425 184.046742138 192.421270869 965.933877119 180.126977229 131.182900872 199.689521055 94.937016497 187.646603637 242.880652959 115.792894331 445.535430286 202.522790293 78.2557392868 543.123884663
17.0 32.6412432587 66.8750896941 64.7950801113 273.396451072 133.941269616 213.720382035 336.537060927 327.233137146 101.71812838 327.77589559 1368.74738473 163.210601961 171.580468837 861.35789082 160.299473624 116.792739915 177.178310607 84.9051776742 166.453411382 215.938647315 102.877344934 394.968901384 183.145267037 69.7395073245 483.576610247
18.0 29.160840464 60.0121252339 57.9933319213 243.981876056 120.202869419 191.480330595 300.866604532 293.613408205 91.3016886681 292.06123788 1221.17590393 145.783831946 154.062099628 772.663911342 143.665634704 104.719183365 158.313569751 76.4631684783 148.738144907 193.342972812 92.0676253187 352.608689938 166.670145604 62.606347755 433.468103709
