magnification abell383 abell1423 abell209 abell2261 abell611 clj1226 macs0329 macs0416 macs0429 macs0647 macs0717 macs0744 macs1115 macs1149 macs1206 macs1311 macs1423 macs1720 macs1931 macs2129 ms2137 rxj1347 rxj1532 rxj2129 rxj2248
23.0 12.5195456392 25.9650662225 25.6740176037 104.50892629 53.5329460254 90.303687197 134.881777237 129.535088394 40.3604577517 126.265114812 515.655700654 65.9730994573 69.8878262297 303.420781591 64.1618465547 47.1408074664 69.2590324675 34.3824656282 64.3139973928 84.4219114138 40.1688488264 151.15844528 81.8954241426 27.97753595 190.979015782
24.0 11.5308341749 23.9660493594 23.6868612233 96.0262727519 49.4337022904 83.366276298 124.259107939 119.388612163 37.2484132722 115.945940414 473.016970808 60.7567809126 64.5690549324 278.552475465 59.1666771525 43.5033411791 63.6752087308 31.836663118 59.2066313526 77.772441211 37.0202520114 138.861120691 76.4588811598 25.8591076147 176.039564228
25.0 10.6569720808 22.1938042902 21.9272669227 88.53876678 45.7966130921 77.2154861443 114.847133008 110.393926451 34.4871438983 106.849338881 435.396343588 56.1412599636 59.845439729 256.570836738 54.7426330715 40.2788612647 58.7432850538 29.5708920376 54.6953867337 71.8885133143 34.2337780311 128.008570142 71.5841775754 23.9789587694 162.808459597
26.0 9.88044386572 20.6143600228 20.3608270936 81.8956510937 42.5530453565 71.7347305669 106.466900545 102.382071781 32.0246180997 98.78872107 402.043979829 52.0362897885 55.6293963437 237.051111836 50.804240419 37.4057735105 54.3650256338 27.5441016488 50.6897116461 66.6552799865 31.7548591528 118.382337723 67.1926348659 22.3015193627 151.032913038
27.0 9.18699593447 19.1999881862 18.9595089712 75.9737989698 39.6468544275 66.8284763705 98.9715833618 95.2141094372 29.8182645011 91.6118683996 372.344112407 48.3681318779 51.8491248652 219.643293545 47.2816294505 34.8337165561 50.460096823 25.7226694658 47.1157544799 61.9788544584 29.5389630344 109.803835624 63.2192781006 20.7977490896 140.505431224
28.0 8.56492809931 17.9278609576 17.7002743521 70.6718351808 37.0317261711 62.417810603 92.2397634549 88.7749197618 27.8329591562 85.1935957806 345.787404381 45.0760363773 48.4452820857 204.056954856 44.1172114082 32.5211688253 46.9622803045 24.078822581 43.9127824581 57.7818548328 27.5494396656 102.125909327 59.6100193853 19.4437333761 131.054386078
29.0 8.00455916772 16.7790360507 16.5640377883 65.905668971 34.669160455 58.4370643459 86.1703049613 82.9684489032 26.0394985135 79.4301802745 321.949713718 42.1095715139 45.3684495686 190.049542685 41.263156535 30.4336330707 43.8165904664 22.589440253 41.0304677768 54.0000195152 25.7558911398 95.2264155424 56.3195014976 18.2196217731 122.536802674
30.0 7.4978192517 15.7376803901 15.5348712916 61.605063887 32.5269243288 54.8312139072 80.6783991292 77.714029183 24.4134280387 74.2350858221 300.475625938 39.4265751806 42.5771862818 177.417260166 38.679459212 28.5422439577 40.9770571077 21.235135491 38.4268087761 50.5796087616 24.1329236008 89.0032817944 53.3094293574 17.1088161412 114.832787599
31.0 7.03793548335 14.7904701502 14.5993908257 57.7109779017 30.5778533843 51.5538607614 75.6924840166 72.9435041143 22.9341344669 69.5356504086 281.065572128 36.9915678948 40.0365158237 165.987905088 36.332438553 26.8226892468 38.4050033817 19.9995433307 36.0665215138 47.4753898423 22.6591819736 83.3706692404 50.5472662385 16.0973433441 107.841184156
32.0 6.61918737844 13.9261226105 13.7462784191 54.1734820328 28.7989141323 48.5656470397 71.1518240099 68.5989627053 21.5841356797 65.2704956615 263.465669219 34.7745117208 37.7167403369 155.615200356 34.1935655761 25.2543660675 36.0676963258 18.8687639929 33.9197836694 44.6490602712 21.3165963104 78.2559657057 48.0052056765 15.1733658086 101.476154636
33.0 6.2367146917 13.1350275873 12.9659065444 50.9501178051 27.1704641064 45.8330021165 67.0045919991 64.6309395504 20.3485202884 61.3874841855 247.45964594 32.7498312999 35.5925025263 146.174272469 32.238537839 23.8197152679 33.9372805 17.8309233342 31.9612450767 42.0680032293 20.0897881603 73.5974096782 45.6593538863 14.3267962074 95.6644699577
34.0 5.88636522973 12.4089548343 12.2500403889 48.004590757 25.6756632119 43.3271432644 63.2063380258 60.9969741964 19.2145017328 57.8420960832 232.862380259 30.8956353775 33.6420379137 137.558020523 30.4465434007 22.5036919691 31.9899287466 16.8758230043 30.1692419708 39.7042973048 18.9655991358 69.3421982619 43.4890744347 13.5489915648 90.3433439079
35.0 5.56457336406 11.7408199408 11.5916000053 45.3057235365 24.30000182 41.0232729828 59.7187576442 57.6604499495 18.1710607748 54.5961290933 219.51469183 29.1930930756 31.8465742608 129.674181336 28.799670936 21.2933412394 30.2051609125 15.9946598427 28.5251682808 37.5339226679 17.9327136426 65.4449695414 41.4764590834 12.8325085109 85.4586902208
