magnification abell383 abell1423 abell209 abell2261 abell611 clj1226 macs0329 macs0416 macs0429 macs0647 macs0717 macs0744 macs1115 macs1149 macs1206 macs1311 macs1423 macs1720 macs1931 macs2129 ms2137 rxj1347 rxj1532 rxj2129 rxj2248
1.0 95082.4578842 166566.988269 207370.262896 170147.182994 196319.343816 132016.317891 144178.444181 73154.0796849 161012.616178 180483.887882 116045.815286 183566.940074 163377.73995 44951.4047354 180409.923566 157954.710621 82482.5650774 175009.709478 165253.941462 186555.836091 165818.992654 159783.263503 103898.002485 197794.47258 123797.128288
2.0 6710.45320649 11700.7046746 13461.7139878 27034.4397739 18237.2929577 20231.1130642 26295.6328856 18009.9654279 14087.9728482 31910.3293312 52282.5027188 20960.5633135 18825.4408987 22785.0396526 19885.0619621 15541.9292282 15221.38342 12786.4333365 20633.738938 23578.7787152 15317.9930299 31716.8927912 13401.6671851 13052.0559722 29836.2992344
3.0 1841.41914678 3268.50709796 3608.11269207 10123.6121368 5663.9514662 7521.76038787 10537.6765972 8143.34688386 4305.43075993 12317.6447047 29123.0208489 6965.98815556 6364.536054 13709.4919054 6547.20049387 4924.7878186 6030.43988324 3670.76364377 7021.49673863 8190.95275169 4705.700931 12932.7334088 4850.25927167 3552.02959979 13185.3658328
4.0 809.742674165 1464.96248539 1574.43316674 5220.83354285 2679.82934785 3880.99402865 5668.72326677 4677.02030228 2026.16320831 6418.77721244 18396.7100794 3390.88331698 3149.47228914 9153.56508939 3180.30032846 2351.41416479 3200.67447466 1679.63556919 3443.43865172 4091.44893252 2203.47422411 6967.98815192 2523.52455811 1569.79604427 7432.96914796
5.0 448.964092456 826.530213501 871.429480905 3177.44974356 1560.70133612 2369.92519818 3552.7702369 3053.46949011 1178.11214893 3918.08108927 12603.6053891 1999.34787757 1884.73629132 6541.80470532 1876.53627372 1375.56734902 1981.18995317 963.443677637 2033.89160846 2454.424432 1271.45910905 4351.52870852 1572.14742988 878.221966424 4780.63183407
6.0 284.935061358 532.715039816 553.544506167 2138.41401318 1026.3693361 1602.19057469 2443.5597556 2159.23945654 774.677889428 2636.06041846 9138.04630686 1320.83964446 1261.75035144 4904.66242925 1242.20606178 906.554875274 1347.85370264 629.525259169 1342.94199261 1641.92101425 829.327438135 2977.02821241 1088.78119125 563.008984773 3339.79910774
7.0 197.329932174 373.978197815 384.169276287 1539.24395619 730.302480447 1159.06951889 1788.69802148 1612.44685254 551.48685125 1894.00991383 6908.39666918 940.199470248 908.908510941 3810.58698723 886.567120248 645.593682078 977.346767417 447.121229327 954.532680281 1180.03552179 585.809481015 2166.55247618 807.773845813 393.879488342 2469.33063558
8.0 145.182111242 278.470141362 283.411252807 1162.41605979 548.892370449 879.865202326 1368.99667649 1252.73489354 414.78893599 1426.73687995 5393.58504258 705.270197141 689.188506077 3043.34116733 667.003187915 485.26242327 741.927117305 336.313919654 714.739729795 891.993971847 437.422094611 1648.63928883 628.757481288 292.637254477 1902.69081051
9.0 111.631162063 216.407156989 218.559362483 909.914170175 429.399872598 692.325476135 1083.3558713 1002.94651574 324.729050707 1113.69283103 4319.90133555 549.907855369 542.67029448 2484.66436656 521.677192331 379.471244349 582.980979362 263.692516465 556.27080122 699.90368778 340.182311736 1297.49026868 506.933661625 227.104152475 1512.83947039
10.0 88.7495135005 173.687042756 174.284070256 732.345698757 346.295923634 560.077513484 879.836276578 822.117369829 262.058601256 893.786704347 3532.6368975 441.66318724 439.788686474 2065.37622871 420.301133258 305.817284663 470.562829001 213.319244389 445.999484521 565.13426392 272.877491535 1048.34423229 419.802040246 182.131719113 1232.91797137
11.0 72.422531354 142.940965662 142.645531496 602.63525862 286.005792581 463.18759103 729.497138975 686.812262328 216.556762305 733.409499771 2939.12527376 363.111662279 364.580084068 1742.78653072 346.62632055 252.350638917 388.080370303 176.810602804 366.101807018 466.754855623 224.26731223 865.101313108 355.02037333 149.841263523 1024.98702524
12.0 60.345268404 120.014382682 119.201567075 504.933097742 240.767127347 389.98314249 615.156038483 582.813648977 182.383788593 612.843235644 2481.18616949 304.216795496 307.800804083 1489.38104431 291.29805559 212.22144292 325.736952297 149.411455681 306.300389224 392.617429413 187.945529022 726.343010602 305.339330182 125.807921888 866.202328464
13.0 51.1457278346 102.419092139 101.309766883 429.458237158 205.876541268 333.25606655 526.077873679 501.077374396 156.002672462 519.904924818 2120.83796667 258.864288794 263.790953652 1286.77461896 248.618230822 181.271311798 277.444739866 128.258169514 260.331745938 335.272794248 160.042660635 618.706248821 266.261929936 107.390209591 742.132937885
14.0 43.9658566422 88.5897921829 87.3179336164 369.907622771 178.346285447 288.356889131 455.268717848 435.62076073 135.166828685 446.739587884 1832.45634452 223.15460041 228.923228948 1122.30193359 214.952370564 156.854748102 239.258038225 111.540073026 224.201517368 289.942881756 138.108057343 533.501331399 234.871251343 92.9310074619 643.294367618
15.0 38.2465504198 77.5007900599 76.1493973857 322.069724995 156.202455692 252.175361213 398.009568167 382.354214019 118.391851099 388.098795584 1598.26102552 194.503962815 200.783005955 987.0073094 187.891632439 137.221902929 208.527813995 98.0650598646 195.264225985 253.445856387 120.52730159 464.878028392 209.203668363 81.3470565101 563.242149471
16.0 33.6106780906 68.4564949062 67.0776652768 283.042765903 138.097032824 222.565689535 351.020284759 338.40294378 104.66373318 340.36778233 1405.61094054 171.14427913 177.710502818 874.413402081 165.786898062 121.176665122 183.421518947 87.0210909623 171.710753402 223.594571329 106.200904095 408.779783854 187.895147938 71.9052551004 497.471433995
17.0 29.796227227 60.9711430411 59.597734902 250.773958402 123.082977707 198.007727363 311.961857582 301.696815011 93.2698137285 300.991144296 1245.32580824 151.831722312 158.533030852 779.741800157 147.477395304 107.878114189 162.6383509 77.8387099058 152.269490772 198.844192698 94.358465527 362.321395298 169.972358346 64.0945764692 442.755200651
18.0 26.6164591274 54.6968054734 53.3494398455 223.777468719 110.478461159 177.399511744 279.128943475 270.713499596 83.6967579109 268.120932581 1110.6126159 135.670090136 142.402111806 699.405353008 132.126222902 96.7204901471 145.23404252 70.1084298447 136.025111951 178.077570834 84.4467370769 323.404909193 154.724417607 57.5495834251 396.731952767
19.0 23.9352877272 49.3787164228 48.0700977362 200.956026483 99.7819871611 159.925975166 251.253764459 244.312664487 75.5667916272 240.393928795 996.360486443 122.000001377 128.690955537 630.669066604 119.117185984 87.2580656268 130.50953282 63.5292846337 122.304884531 160.47002875 76.0597901475 290.474913555 141.621466874 52.0030688623 357.640846744
20.0 21.6515791803 44.826672171 43.5643184524 181.484811954 90.6176904291 144.973436176 227.377483402 221.626038955 68.5966071396 216.786630776 898.666473834 110.327287765 116.927982934 571.418485722 107.988121169 79.1566767745 117.938215074 57.8757746311 110.605205574 145.401636725 68.894103693 262.358250666 130.26143805 47.2557908323 324.146896621
21.0 19.6888591585 40.8962078147 39.6842106841 164.733944193 82.699123573 132.072474584 206.763729468 201.98279206 62.5701572179 196.518443369 814.509883072 100.275485182 106.752578409 519.99830946 98.3866540306 72.1616088604 107.117200624 52.9760414312 100.542875065 132.398800918 62.7188912684 238.156420385 120.334345418 43.1565882423 295.222844861
22.0 17.9883978905 37.4759033733 36.3160819597 150.215561896 75.8047080701 120.858898743 188.839170769 184.857804817 57.3202094206 178.98559602 741.524332493 91.5535706593 97.8849469467 475.097912242 90.0401473063 66.0758095088 97.7339428183 48.6971035273 91.8220196949 121.094465164 57.3560241934 217.171760121 111.59777891 39.5889921236 270.067618898
23.0 16.5044618186 34.478635213 33.3713034449 137.546960703 69.7607356986 111.046531571 173.151864311 169.83513209 52.715570953 163.715126874 677.835480803 83.9335919498 90.1051496271 435.668813141 82.7348575455 60.7447933556 89.5429242093 44.9346504394 84.2111706025 111.200431445 52.666155652 198.855798767 103.859738432 36.4620111437 248.048962452
24.0 15.2009884336 31.8354277959 30.7799104994 126.424446485 64.4293719811 102.407889275 159.34154452 156.581752485 48.6520703098 150.332259803 621.943699956 77.2348635724 83.2382486967 400.864296833 76.3012048175 56.045983036 82.3490806364 41.605849826 77.5270794403 102.48774975 48.5389456907 182.772482099 96.966387775 33.7036642363 228.662376811
25.0 14.0492161494 29.4910561502 28.4860393081 116.604483428 59.7000429932 94.760236705 147.118086344 144.828417431 45.0460802888 138.536897449 572.638038993 71.3126115633 77.1436031507 369.994644315 70.6031846979 51.8810529228 75.995824051 38.6441886692 71.6230980123 94.7725908629 44.8860554233 168.571566438 90.793172309 31.2563602603 211.50127494
26.0 13.0259675799 27.4008499521 26.4446199366 107.889897955 55.4831541647 87.9553718883 136.245665013 134.355482651 41.8297929366 128.086430702 528.932312729 66.0496885188 71.7070364584 342.493527496 65.5306397115 48.1703437133 70.3562605164 35.9957141964 66.380706111 87.9059135146 41.6360468013 155.969087578 85.2382789189 29.0735437783 196.234976981
27.0 12.1123877691 25.5283368849 24.6189444518 100.119644461 51.7054441447 81.8720398575 126.530949787 124.982290818 38.9477231131 118.782996395 490.017058147 61.3504435912 66.8350254382 317.892497118 60.9935383053 44.8487297119 65.3266642321 33.6162549178 61.703247879 81.7658014928 38.7306163391 144.732832044 80.2177540749 27.1172241401 182.592275586
28.0 11.293004321 23.8434816232 22.9788543935 93.161118143 48.3065031319 76.4102282835 117.814196478 116.559121321 36.354087278 110.463914441 455.223020787 57.1361284458 62.4503334016 295.801411823 56.9176851512 41.8625211447 60.8215681188 31.4693389271 57.511241431 76.2517083349 36.1217773883 134.67139713 75.6618136281 25.3561307668 170.349014424
29.0 10.5550186557 22.3213537515 21.4993731153 86.9043144582 45.2361324783 71.4868285938 109.96245124 108.961020051 34.0108147652 102.994428754 423.993121063 53.3414135434 58.4886899502 275.893279132 53.2414665003 39.1671145148 56.7700285445 29.524615503 53.7388250687 71.2800840933 33.7697266555 125.625860387 71.5120210703 23.764318935 159.318596478
30.0 9.88776547535 20.9411087546 20.1596620313 81.257344418 42.4523201307 67.0323005592 102.86431124 102.083022632 31.8860222042 96.2621385892 395.860727449 49.9117175594 54.8962391518 257.892407972 49.9133538295 36.7251907196 53.112753558 27.7566448911 50.3310353283 66.7810163906 31.6412108718 117.463370129 67.7191068111 22.3201040716 149.344657253
31.0 9.28229618477 19.6852003641 18.9422156626 76.1429570798 39.9196723999 62.9880830021 96.4258466473 95.8364219411 29.9528312427 90.1726847649 370.432669391 46.8011394788 51.6275585842 241.565071714 46.8899697446 34.5053191622 49.7998735531 26.1439607654 47.2417011396 62.6956247518 29.7082635294 110.07216642 64.2412661986 21.0052386019 140.295355764
32.0 8.7310547147 18.5387658469 17.8322347876 71.495818393 37.6081876911 59.3045653332 90.5673981448 90.1458263892 28.188443624 84.6463775264 347.375846885 43.9708423727 48.6441072248 226.71209212 44.1345754493 32.4808661697 46.7891950252 24.6683369515 44.4317994082 58.9740205556 27.9472185478 103.357678639 61.0428190131 19.8042699656 132.058887066
33.0 8.22762297 17.4891419553 16.8171338627 67.2603637866 35.4922891813 55.939484916 85.2210410404 84.9468227223 26.5734112168 79.6155381544 326.406594117 41.3877792026 45.912998823 213.162905902 41.6158775806 30.6291338913 44.044821242 23.3142087954 41.8681597473 55.5736960627 26.3379333519 97.2394413365 58.0931446692 18.7040354061 124.539926124
34.0 7.76651926393 16.5254805769 15.8861506838 63.3890900797 33.550055501 52.8566508126 80.3285616321 80.1841051219 25.0910551753 75.0223866456 307.282169927 39.0236801218 43.4060246823 200.770784903 39.3070793284 28.9306754555 41.5360541831 22.0682127663 39.5224359506 52.4582420562 24.8631718609 91.6486377966 55.3658297052 17.693261048 117.656788215
35.0 7.34303745363 15.6384411653 15.0300346279 59.8411867535 31.7626042004 50.024919894 75.8398306085 75.8099670116 23.7270002164 70.81735086 289.793903769 36.8542415044 41.0988692702 189.408960762 37.1851200947 27.36874615 39.2365139778 20.9188172953 37.3702830832 49.5963193966 23.5081107035 86.5261293053 52.8379801717 16.7622412396 111.33914527
36.0 6.95311761259 14.8199428155 14.2407958196 56.5814315336 30.1135941118 47.4173696978 71.7114866775 71.783077206 22.4687985187 66.9577036367 273.761640007 34.8584719081 38.9704761666 178.967463842 35.2300618994 25.9288604624 37.1234278988 19.8560246199 35.390694409 46.9608284173 22.2599412031 81.8208632642 50.4896631723 15.9025802051 105.526176992
37.0 6.59324133959 14.0629630488 13.5115019201 53.5792934184 28.5888209768 45.0106258601 67.9058644407 68.0674806141 21.3056239529 63.4064570928 259.029207577 33.0181610873 37.0025321399 169.350530007 33.4245909058 24.5984321649 35.1770525497 18.8711283385 33.5654635462 44.5282336731 21.1075463915 77.4885790679 48.3034503415 15.1069824665 100.165064527
38.0 6.26034646104 13.3613734544 12.8361124276 50.8081997126 27.1758867809 42.7843118745 64.3901159327 64.6317775166 20.2280219179 60.1314600606 245.46070486 31.3174462055 35.1790447326 160.474461738 31.7536099285 23.3664800311 33.3802014383 17.9565150056 31.8787454653 42.2780115802 20.041237242 73.4907496833 46.2640423663 14.3690817283 95.2097559425
39.0 5.95175710975 12.7098046261 12.2093427388 48.2449336059 25.8639277507 40.7205963192 61.1354867574 61.4484457782 19.227703453 57.1046570749 232.93743675 29.7424553619 33.4859943781 152.265854952 30.2039033502 22.2233857877 31.7178564943 17.1055007912 30.3166960476 40.1921959388 19.0525359781 69.7937110629 44.3579583822 13.6833003152 90.6199487765
40.0 5.66512607821 12.1035345355 11.6265519827 45.8691363392 24.6433893484 38.8038182512 58.1167164139 58.493278178 18.2973748372 54.3014766635 221.355376614 28.2810130239 31.9110463159 144.660121876 28.7638600437 21.1606939164 30.1768468863 16.312196243 28.8671744967 38.2550019312 18.1339970506 66.3679421977 42.5732776365 13.0447330451 86.3602470617
41.0 5.39838703315 11.5383957809 11.0836499666 43.662893669 23.5058391582 37.0201756682 55.3115389876 55.7449129948 17.4305958119 51.7003237635 210.623053053 26.9223953313 30.4433107781 137.600254868 27.4232430528 20.1709451926 28.7455821145 15.5713937192 27.5194963455 36.4525134224 17.2790584477 63.1874667096 40.8994235175 12.4490507692 82.3994593905
42.0 5.14971470061 11.0106981241 10.5770195788 41.6103906751 22.4438105005 35.3574651516 52.7002654088 53.1844405577 16.6216610277 49.2821564721 200.659782327 25.6571258187 29.0731423727 131.035787377 26.1729971863 19.2475375845 27.4138291313 14.8784732143 26.2642274361 34.7724216214 16.4819175763 60.2293530593 39.3269821232 11.8924198379 78.7100116481
43.0 4.91749153045 10.5171634845 10.1034517666 39.6976222749 21.4506711066 33.8048632721 50.2654323633 50.7950719987 15.8655004376 47.0301314775 191.394183472 24.4768040732 27.7919714691 124.921916942 25.005087525 18.3846094629 26.1725253662 14.2293231965 25.0930112606 33.2038056464 15.7374271587 57.4732952049 37.847549142 11.3714345365 75.2674534624
