days "AB magnitudes"
66.5211805556 28.3715788043
66.5392361111 28.3583706447
66.5618055556 28.4195660138
66.5828703704 28.4203852104
66.6039351852 28.4695813124
66.6280092593 28.5010558311
66.6490740741 28.5398930944
66.6716435185 28.5799527982
66.6912037037 28.6277995649
66.7122685185 28.6810407667
66.7363425926 28.729632965
66.7559027778 28.7705702133
66.7799768519 28.7949441682
66.8010416667 28.8135453432
66.8221064815 28.8433256757
66.8446759259 28.8477195816
66.8642361111 28.8534736548
66.8868055556 28.8874526197
66.909375 28.8856395196
66.9289351852 28.8842109556
66.9530092593 28.9248994974
66.9725694444 29.0053704506
66.9951388889 29.1528999955
67.019212963 29.2951730654
67.0372685185 29.4012211592
67.059837963 29.5114398037
67.0824074074 29.6042216815
67.1049768519 29.603549876
67.124537037 29.6276609698
67.1471064815 29.5614563124
67.1696759259 29.667465681
67.1892361111 29.84279209
67.2148148148 29.8982091104
67.234375 30.0675034976
67.2554398148 30.1952233612
67.2765046296 30.3090399439
67.2990740741 30.4425481991
67.3216435185 30.5551288829
67.3427083333 30.6652412886
67.3637731481 30.7739326786
67.3878472222 30.8193025583
67.4104166667 30.8535387702
67.4299768519 30.9130688849
67.449537037 30.9621147147
67.4736111111 30.9864427049
67.4946759259 31.0080606418
67.5172453704 31.105568953
67.5383101852 31.1168816278
67.5608796296 31.2429762226
67.5819444444 31.2852293527
67.6060185185 31.3523339649
69.0369212963 30.2494235699
70.5084490741 30.5645875393
71.999537037 30.3350702471
73.5282407407 30.2466659965
75.0900462963 30.2841235823
76.6834490741 30.3525275368
78.3114583333 30.3824295011
79.9740740741 30.42672501
81.6712962963 30.4598790247
83.403125 30.4827035894
85.1755787037 30.5269647848
86.9841435185 30.5956245929
88.8318287037 30.6620349844
90.7141203704 30.7057879708
92.6400462963 30.7471110788
94.6081018519 31.0883203391
96.6212962963 31.2102322491
98.6706018519 31.0651363086
100.765046296 31.0216140918
102.90462963 31.2018510592
105.087847222 31.2108902846
107.320717593 31.2217522512
109.595717593 31.2755343811
111.918865741 31.1809068965
114.299189815 31.1677642802
116.727662037 31.1723555548
119.204282407 31.3585508913
121.730555556 31.3806911494
124.315509259 31.381328535
126.957638889 31.5103303877
129.945833333 31.5657378502
132.404398148 31.5710266642
135.216550926 31.6053170882
138.08587963 31.6468269619
141.013888889 31.7025979346
144.006597222 31.8695952061
147.065509259 32.0924453639
150.190625 32.1038180485
153.366898148 32.1096467156
156.646990741 32.3464747779
159.957175926 32.433848389
163.357638889 32.349706608
166.833333333 32.3480363309
170.369212963 32.2914583984
173.980324074 32.3324610827
177.666666667 32.5480198887
181.443287037 32.6028979925
185.310185185 32.4338580909
189.222222222 32.357295895
193.344907407 32.2498381817
197.362268519 32.4164997513
201.530092593 32.392938423
205.863425926 32.3673656091
210.332175926 32.178812227
214.650462963 32.1410821562
223.903935185 32.4481407715
228.673611111 32.4313491061
233.608796296 32.2806383194
238.543981481 32.2574820263
243.614583333 32.371715719
248.700231481 32.3154614998
253.936342593 32.2195933608
259.322916667 32.1857658499
264.859953704 32.1448809284
270.547453704 32.1024972826
276.234953704 31.9220862538
282.087962963 32.2542895588
288.076388889 32.2566738376
294.230324074 32.1890572512
300.534722222 32.2744000407
306.83912037 32.2890709223
313.579861111 32.4718936755
320.335648148 32.6214504265
327.061342593 32.7817523666
333.802083333 33.0127692381
341.159722222 33.1306474638
348.517361111 33.3590939089
355.875 33.4350868416
363.232638889 33.6641493993
371.207175926 34.0883142899
378.579861111 34.3652017121
386.554398148 34.2642411786
395.145833333 34.2751320591
403.12037037 34.441982747
411.726851852 34.5476198873
420.935185185 34.9824359171
429.541666667 35.0952390837
438.75 35.3758172041
447.97337963 35.5257058724
457.798611111 35.8609149237
467.021990741 36.0297181802
477.479166667 36.4090720399
487.319444444 36.6409418154
497.761574074 37.0911838146
508.233796296 37.3365244397
518.690972222 37.7513956758
529.765046296 38.1027610014
541.456018519 38.5611167994
552.530092593 39.0867790023
564.236111111 39.7425724602
576.543981481 40.442922336
588.851851852 41.1919833751
601.174768519 41.6018658546
614.114583333 42.1571436636
627.054398148 43.6127377669
639.994212963 45.1523643075
653.550925926 46.5765425733
667.724537037 48.8813343082
681.898148148 49.2370492069
696.086805556 50.5573524243
710.892361111 52.1822499966
726.299768519 54.0655397641
741.722222222 58.2712663317
757.791666667 55.517494407
773.815972222 54.700159328
789.825231481 55.036720964
807.053240741 56.1759267839
824.296296296 57.5002238663
841.554398148 56.1727974654
858.8125 65.2355781317
877.304398148 61.7726091207
895.796296296 67.8740236452
915.552083333 66.888169574
934.059027778 68.0004936666
953.814814815 68.4012789014
974.819444444 69.8304617193
995.824074074 73.8389701024
1016.84375 81.5052940756
1037.86342593 77.014426163
1060.13194444 78.9201663557
1082.40046296 83.6274989825
1105.91782407 86.7748890683
1129.43518519 82.7651735512
1152.96759259 89.6424051765
1177.74884259 98.9179516093
1202.53009259 136.495717907
1227.31134259 137.348170943
1253.35648148 147.595350397
1280.63541667 131.812568621
1307.92939815 135.89680991
1335.22337963 133.103551953
1668.18287037 124.016704827
1844.97685185 147.472205549
2039.375 198.561800436
2233.77314815 203.732950613
2428.1712963 209.067318114
2622.71990741 214.419838749
2817.26851852 219.722974615
3011.81712963 224.934957326
3206.36574074 230.051259492
3401.06481481 235.094970528
3595.76388889 240.100518974
3790.46296296 245.102107467
3985.16203704 250.116086908
4180.01157407 255.137576147
4374.86111111 260.152692826
4514.03935185 263.720595672
