days "AB magnitudes"
12.8944444444 32.1919112365
12.9122685185 30.4916166425
12.9313657407 30.8967019481
12.9491898148 30.7950650113
12.968287037 30.8861942536
12.9861111111 30.9885756346
13.0039351852 31.058844082
13.0230324074 31.1213361989
13.0408564815 31.1769131871
13.0599537037 31.2380360335
13.0777777778 31.3687086104
13.0956018519 31.4398796107
13.1146990741 31.5117338113
13.1325231481 31.7610624487
13.1516203704 31.9619885147
13.1694444444 32.0918326295
13.1872685185 32.1242901488
13.2063657407 32.1748154999
13.2241898148 32.1291469094
13.243287037 32.077697048
13.2611111111 32.024555807
13.2789351852 32.082096477
13.2980324074 32.0702449698
13.3158564815 32.0550681467
13.3349537037 32.0718134548
13.3527777778 32.0916790397
13.3706018519 32.1190607952
13.3896990741 32.1921166019
13.4075231481 32.1158026222
13.4266203704 32.0848251819
13.4444444444 32.0715517527
13.4622685185 32.0718219649
13.4813657407 32.0705101131
13.4991898148 32.0729990531
13.518287037 32.0791425428
13.5361111111 32.0823809661
13.5539351852 32.1019615684
13.5730324074 32.1123252319
13.5908564815 32.1248812508
13.6099537037 32.2517673168
13.6277777778 32.2422116355
13.6456018519 32.2116521418
13.6646990741 32.1825335101
13.6825231481 32.0941211408
13.7016203704 32.0890671797
13.7194444444 32.0866409523
13.7372685185 32.0903923455
13.7563657407 32.0972191951
13.7741898148 32.1044219307
13.793287037 32.1222095479
13.8111111111 32.1307140754
14.2045138889 32.2432341753
14.609375 32.089986542
15.0269675926 32.1958093819
15.4547453704 32.2316047035
15.8965277778 32.1985829244
16.3497685185 32.1308733763
16.8157407407 32.0583624044
17.2944444444 32.0051561931
17.7884259259 31.9417385197
18.2938657407 31.8927211975
18.8171296296 31.8184179231
19.353125 31.8089786867
19.9043981481 31.7704851789
20.4734953704 31.7488294416
21.0565972222 31.6977590387
21.65625 31.6303217149
22.2724537037 31.6058368243
22.9077546296 31.5572686863
23.5608796296 31.5613061482
24.2331018519 31.5238558843
24.9244212963 31.4930492239
25.6361111111 31.4944979199
26.365625 31.406636858
27.1167824074 31.4273455797
27.8895833333 31.5731847224
28.6891203704 31.5611536361
29.5039351852 31.526042505
30.3467592593 31.4457975987
31.2112268519 31.4640440166
32.0986111111 31.4421526276
33.0152777778 31.479613551
33.9574074074 31.528354067
40.399537037 31.5767758697
41.3416666667 31.6481609957
42.5193287037 31.6437853441
43.733912037 31.6501705972
44.9828703704 31.6885418734
46.3756944444 31.7325773172
47.5800925926 31.7044368762
48.9385416667 31.7093371858
50.3326388889 31.6943647318
51.7662037037 31.694716058
53.2417824074 31.6794049403
54.7619212963 31.6877176932
56.3240740741 31.7134490355
57.9295138889 31.7937011508
59.6164351852 31.8747331515
61.3288194444 31.8770527097
63.0488425926 31.8551684937
64.8974537037 31.9266232723
66.7486111111 31.9441286833
68.6023148148 32.0310472533
70.5820601852 32.0887367273
72.565625 32.1195909227
74.6752314815 32.1872196859
76.7873842593 32.2245916414
79.028125 32.287238828
81.271412037 32.3387922846
83.5185185185 32.3690866533
85.8929398148 32.4169428266
88.3972222222 32.5100145319
90.9040509259 32.6014078928
93.5420138889 32.7125453708
96.1837962963 32.8558319033
98.8293981481 32.8974592608
101.732175926 33.0732196046
104.638773148 33.1982907191
107.551736111 33.1983984613
110.595833333 33.3826457571
113.772337963 33.4821969698
117.08125 33.5473763821
120.397800926 33.6776239565
123.846759259 33.7502901428
127.302083333 33.791366767
131.019675926 33.8406867218
134.75 33.9119891592
138.480324074 34.0485325083
142.478009259 34.1559232698
146.475694444 34.3303177
150.753472222 34.5387428745
155.03125 34.644728222
159.449074074 34.7936765355
164.006944444 35.0506138231
168.717592593 35.263416257
173.415509259 35.4242534552
178.40625 35.7035694634
183.524305556 35.9606599822
188.655092593 36.3371645727
194.065972222 36.6246259832
199.616898148 36.8080529838
205.320601852 37.1621705278
211.164351852 37.4832865439
217.148148148 37.7949915332
223.424768519 38.3550570054
229.71412037 38.628439584
236.283564815 38.8876623631
242.993055556 39.3154326228
250.008101852 39.8487126531
257.03587963 40.3718827867
264.34375 40.8526594497
271.944444444 41.3450904228
279.697916667 42.0198720602
287.642361111 42.4368279204
295.905092593 43.2931680702
304.346064815 44.0558181502
312.952546296 44.9243468692
321.902777778 45.4275990071
331.056712963 46.0983667146
340.579861111 46.6124273799
350.293981481 47.2461553269
360.211805556 47.7294804733
370.422453704 48.5752567706
381.078703704 49.4921277291
391.976851852 50.11625873
403.12962963 51.3176950419
415.237268519 51.894843557
428.108796296 53.8526534165
439.22337963 54.0928809731
452.349537037 53.6750959334
465.450231481 54.8541773364
478.601851852 56.3624222091
492.135416667 54.9601503338
505.821759259 56.0022876857
519.533564815 55.2394821518
535.244212963 56.6905654128
549.032407407 56.1760351743
564.895833333 57.6889714407
581.001157407 59.0736061042
599.334490741 60.4006656618
615.885416667 64.9240257878
633.034722222 65.7249568452
650.28587963 66.6631604025
670.821759259 69.6089938976
689.524305556 72.0671266865
708.774305556 87.788692633
728.559027778 169.679175583
748.916666667 170.999795375
769.847222222 172.456322264
791.376157407 174.008524727
816.724537037 175.786926839
839.577546296 177.228146168
863.092592593 178.542828893
887.269675926 179.826271495
912.134259259 181.167114249
937.711805556 182.60865366
964.002314815 184.157529637
991.056712963 185.758682333
1022.91087963 187.657570184
1051.63310185 189.356003548
1081.17013889 190.982789462
1111.5474537 192.594833596
1142.80324074 194.263953927
1174.92476852 196.066925445
1207.97569444 197.674427592
1241.95601852 199.132380696
1276.96759259 200.753030377
