magnification abell383 abell1423 abell209 abell2261 abell611 clj1226 macs0329 macs0416 macs0429 macs0647 macs0717 macs0744 macs1115 macs1149 macs1206 macs1311 macs1423 macs1720 macs1931 macs2129 ms2137 rxj1347 rxj1532 rxj2129 rxj2248
11.0 66.4293597053 131.208299642 131.405116191 554.670927213 263.487106597 432.21465223 672.312778489 633.9258241 199.552046058 677.439697841 2697.25680328 336.59617515 336.671131414 1575.47946563 320.776915418 233.591631489 358.988467279 162.660449818 336.905825669 431.042726618 206.293749805 796.503218064 329.238498437 137.990387961 944.522661758
12.0 55.3687800554 110.146502919 109.834881582 464.739847658 221.84987228 364.331833453 567.558381071 537.820176597 168.087702954 566.140686319 2275.51350435 282.221782061 284.388229776 1343.25004227 269.56168661 196.499488634 301.369941673 137.571482229 281.778287116 362.841295875 172.884129179 668.643963094 283.399331027 115.909860803 798.293309241
13.0 46.9404152612 93.9831182595 93.3692456992 395.25892767 189.72801416 311.665920675 485.87154997 462.290040524 143.792098608 480.319804095 1943.88247994 240.318399169 243.837879086 1158.06478462 230.053079361 167.881849186 256.719349945 118.18362467 239.415440864 310.037364468 147.218268355 569.473531601 247.305074893 98.9790105409 684.000791421
14.0 40.3600359775 81.2799929202 80.4899801968 340.431991156 164.376139916 269.934493087 420.878314782 401.808010222 124.599464839 412.740068598 1678.66466819 207.30086301 211.692120261 1008.10853821 198.888296861 145.298386195 221.399608812 102.847102585 206.129525214 268.259347945 127.042228866 490.980602825 218.28149826 85.6800372437 592.928312669
15.0 35.1164991288 71.0947050524 70.2075103491 296.385280063 143.979963529 236.270293722 368.27564864 352.594697656 109.144580709 358.564061844 1463.4221675 180.792354395 185.734503596 885.043885204 173.838134944 127.134410883 192.967704092 90.4751401276 179.47837262 234.594032839 110.871094243 427.771492129 194.527012671 75.0203345792 519.150612061
16.0 30.8649304379 62.7881135532 61.8539833852 260.44919766 127.300156901 208.693457221 325.070879022 311.992848522 96.4946714454 314.458906103 1286.47348714 159.165497355 164.440741426 782.85313325 153.376227541 112.28585585 169.732858313 80.3270320146 157.792116185 207.037505222 97.6935272497 376.106213938 174.789227462 66.3278742883 458.524271007
17.0 27.3656635894 55.9138663071 54.9650767851 230.734869616 113.465834742 185.800203461 289.128766944 278.088703015 85.9940449547 278.067712426 1139.3392601 141.274850443 146.73337833 697.106107047 136.428077123 99.9762870931 150.494411527 71.8830529833 139.89720192 184.173366849 86.8008732597 333.324786969 158.17383242 59.1340155016 408.080208951
18.0 24.4478413337 50.1522589161 49.2095823685 205.874889869 101.849856951 166.572092506 258.891641317 249.474789169 77.17031874 247.685588218 1015.74821984 126.294675923 131.832492495 624.483824054 122.21891333 89.6462474114 134.380460906 64.7692665548 124.949024665 164.976646548 77.6842130298 297.493104847 144.027199537 53.1035018569 365.645048523
19.0 21.9869193788 45.2691916155 44.345900885 184.85930624 91.9908567471 150.255238137 233.200839769 225.096743351 69.6757986948 222.054510353 910.984404354 113.617135098 119.161689804 562.460773725 110.178246307 80.8839765353 120.745292213 58.710681606 112.326938277 148.690208124 69.970137875 267.177308946 131.861809159 47.991102685 329.597786837
20.0 19.89031823 41.0898900217 40.1942984509 166.92884404 83.5429780653 136.281588414 211.179549083 204.15172665 63.2496942456 200.22972652 821.44825691 102.78646919 108.287127453 509.088225424 99.8781696825 73.3807034568 109.102327105 53.5011459783 101.566416013 134.744523864 63.3794401502 241.295992032 121.307472666 43.6138964053 298.709162994
