days "AB magnitudes"
21.5763888889 31.0300249819
21.5989583333 31.1451673189
21.6200231481 30.970669774
21.641087963 30.9945413408
21.6636574074 31.1057918287
21.6847222222 30.9486009742
21.705787037 31.0011952038
21.7283564815 30.9908710565
21.7494212963 30.9667657022
21.7719907407 30.9283071701
21.7930555556 30.9216693117
21.8141203704 30.9282625983
21.8366898148 30.9534274968
21.8577546296 31.0452096169
21.8803240741 31.1470540842
21.9013888889 31.2658420284
21.9224537037 31.3467065262
21.9450231481 31.4909507119
21.966087963 31.566078365
21.9886574074 31.6673544256
22.0097222222 31.7091297393
22.030787037 31.7483795715
22.0533564815 31.7765672754
22.0744212963 31.6825740075
22.0969907407 31.7153284299
22.1180555556 31.7321833708
22.1391203704 31.8443381616
22.1616898148 31.972746871
22.1827546296 32.1252811323
22.2053240741 32.202035679
22.2263888889 32.2456448716
22.2474537037 32.2930654927
22.2700231481 32.2962942437
22.291087963 32.2880911253
22.3136574074 32.6630645374
22.3347222222 32.6563389265
22.355787037 32.6008957984
22.3783564815 32.514157021
22.3994212963 32.425529289
22.4219907407 32.3304322294
22.4430555556 32.2789340645
22.4641203704 32.2527008405
22.4866898148 32.2444311547
22.5077546296 32.2364703649
22.5303240741 32.2268273415
22.5513888889 32.2480767098
22.5724537037 32.2531349932
22.5950231481 32.2976985426
22.616087963 32.333666339
22.6386574074 32.4438874382
22.6597222222 32.3255451353
23.2675925926 32.6093308468
23.8920138889 32.2209762442
24.5329861111 32.3192612492
25.1905092593 32.3975410868
25.866087963 32.345466491
26.5597222222 32.3237599687
27.2729166667 32.3148547307
28.0056712963 32.2755793742
28.7549768519 32.3100135656
29.5268518519 32.2670540598
30.3212962963 32.2896962302
31.1337962963 32.2326730466
31.9673611111 32.2609341696
32.825 32.2926789603
33.706712963 32.2796474578
34.6109953704 32.2223356706
35.5378472222 32.2860030097
36.4917824074 32.287231178
37.4712962963 32.7241294645
38.4748842593 32.7084960816
39.5100694444 32.6945134774
40.5693287037 32.6627866027
41.6586805556 32.7757725811
42.7766203704 32.9156057977
43.9201388889 33.0207477485
45.1012731481 33.0261030926
46.3094907407 33.1888508739
47.5538194444 33.3110681795
48.8282407407 33.4317773412
50.1357638889 33.5544310305
51.483912037 33.7964855924
52.8621527778 33.9808974909
54.2810185185 33.8349449026
55.7390046296 33.9420166633
57.2346064815 34.1001329042
58.7693287037 34.0253155929
60.3446759259 33.9831442828
61.9636574074 34.1314112217
63.6262731481 34.1737333069
65.3310185185 34.1717881817
67.083912037 34.2450413879
68.8849537037 34.1752419729
70.7326388889 34.2594082851
72.6284722222 34.3792860301
74.5769675926 34.3359627383
76.5841435185 34.4555433371
78.6364583333 34.435341999
80.7489583333 34.5515640105
82.9983796296 34.581804872
85.1846064815 34.6448915316
87.4701388889 34.7917725141
89.7601851852 34.6184973888
92.2458333333 34.7354293101
94.6412037037 34.860126256
97.2336805556 34.8466116485
99.8306712963 34.8501018723
102.529976852 34.9380115791
105.233796296 34.9454935364
108.041435185 34.9441447729
110.949884259 35.0282804256
113.963657407 35.157822021
116.981944444 35.0325605
120.105555556 35.2564170159
123.332986111 35.2121562808
126.664236111 35.3968476956
130.102314815 35.5230324236
133.546412037 35.5613271228
137.095833333 35.648140713
140.851388889 35.5350637917
144.614467593 35.7159237289
148.484375 35.6043409857
152.46412037 35.8893342901
156.541666667 36.2298772762
160.739583333 35.8851981957
165.042824074 36.4112961699
169.466435185 36.2737382402
175.710648148 37.018940683
180.375 37.0309355945
184.949074074 37.4109151437
189.538194444 37.5853914037
194.112268519 37.979458777
198.716435185 38.5174515506
205.607638889 38.9646005011
210.256944444 39.2214913246
215.869212963 40.1732036669
221.481481481 40.4723675849
227.394675926 41.3016759053
233.47337963 42.3662776481
239.732638889 43.0137254356
246.06712963 43.1843568175
252.461805556 43.846878646
258.811342593 44.5123216641
268.380787037 45.2777358905
274.775462963 45.1009425641
281.170138889 46.0406059833
287.775462963 46.5283964886
298.021990741 47.7795031614
305.033564815 48.2187140039
312.060185185 49.2256272752
323.510416667 50.6269453952
331.770833333 52.223618165
341.204861111 52.7402523614
350.789351852 56.2176855563
355.58912037 58.8712764212
365.203703704 60.0158133159
379.678240741 62.4654084038
389.337962963 64.3327350602
398.877314815 65.7811291308
408.40162037 66.925175318
417.956018519 69.0474804571
432.280092593 71.9161327142
442.481481481 74.585478022
452.893518519 77.1894646262
463.471064815 78.0414699691
479.976851852 78.1411868344
491.592592593 80.4380340643
503.599537037 82.8756700988
515.636574074 81.3921811616
533.722222222 77.7230875602
545.819444444 79.4319758992
557.931712963 81.191673135
576.152777778 89.2369121749
588.325231481 89.8309039604
606.636574074 105.12920393
624.993055556 123.987313142
637.270833333 128.308354245
655.717592593 167.754293653
674.209490741 165.931309433
692.746527778 164.832415292
711.328703704 145.571952665
729.971064815 185.820414822
748.643518519 186.672052562
767.481481481 187.567334101
787.207175926 188.508494205
809.144675926 189.553504817
832.646990741 190.69681239
857.082175926 191.845225988
881.5625 192.967461111
906.103009259 194.088240666
922.488425926 194.863099223
947.119212963 196.08863151
980.040509259 197.816799842
1004.79166667 199.171125239
1029.58796296 200.592226467
1054.42939815 202.109573642
1087.63657407 204.327090916
1112.58333333 206.179730813
1145.94097222 208.919961623
1170.99305556 211.11092657
1204.48611111 213.758616288
1238.05439815 215.552912853
1271.69791667 217.144554039
1305.41666667 218.914865307
1339.21064815 220.901016954
1373.06481481 223.01743581
1415.49537037 225.377164671
1449.5150463 226.834591734
1492.1412037 228.572446646
1526.2962963 230.099794541
1569.17824074 232.243905317
1612.06018519 234.666406174
1655.09259259 237.228190771
1698.125 239.48406605
1741.45833333 241.227462876
1793.36805556 243.219179005
1836.85185185 245.045866685
1889.0625 247.493159517
1941.27314815 250.223120462
1993.78472222 253.094992803
2046.44675926 255.587849778
2099.1087963 257.516083662
2151.9212963 259.385539167
2289.29398148 259.139542998
2378.36805556 262.780414562
2467.74305556 266.355186037
2557.26851852 269.86600472
2647.24537037 273.315366511
2737.52314815 276.702711511
2827.95138889 280.02994163
2918.68055556 283.295702044
3009.71064815 286.498216074
3100.8912037 289.634530317
3192.37268519 292.701418955
3284.15509259 295.701541161
3376.08796296 298.636315202
3468.32175926 301.513138517
3560.70601852 304.339389749
3653.3912037 307.124436126
3839.36342593 312.607797111
3932.80092593 315.326423886
4026.23842593 318.043276146
4119.97685185 320.768698855
4214.0162037 323.511999273
4308.20601852 326.281511471
4402.5462963 329.085400603
