days "AB magnitudes"
40.9361111111 28.6649190952
40.9472222222 28.6133686171
40.9611111111 28.6407031414
40.9740740741 28.6159008813
40.987037037 28.7063803828
41.0018518519 28.7762199974
41.0148148148 28.8490009431
41.0287037037 28.9275195895
41.0407407407 28.9656135909
41.0537037037 28.9852405472
41.0685185185 29.0350314473
41.0805555556 29.0474019672
41.0953703704 29.0391221129
41.1083333333 29.0584583974
41.1212962963 29.0935660608
41.1351851852 29.1197090315
41.1472222222 29.1415022219
41.1611111111 29.173801257
41.175 29.1873303031
41.187037037 29.2157550798
41.2018518519 29.2283773825
41.2138888889 29.2396540215
41.2277777778 29.2462128946
41.2425925926 29.2569336664
41.2537037037 29.2805067024
41.2675925926 29.2923541569
41.2814814815 29.307659922
41.2953703704 29.2736032409
41.3074074074 29.279204306
41.3212962963 29.2431880023
41.3351851852 29.3131942149
41.3472222222 29.4197983222
41.362962963 29.4740171084
41.375 29.5858373764
41.387962963 29.669518742
41.4009259259 29.7475288332
41.4148148148 29.8252600498
41.4287037037 29.8864732028
41.4416666667 29.9471117096
41.4546296296 30.0135541042
41.4694444444 30.0391351825
41.4833333333 30.053452267
41.4953703704 30.0828020564
41.5074074074 30.1045607287
41.5222222222 30.1048399011
41.5351851852 30.1194579737
41.5490740741 30.2003183056
41.562037037 30.2468001054
41.5759259259 30.2812074796
41.5888888889 30.3170552741
41.6037037037 30.3692989431
42.4842592593 30.4097833783
43.3898148148 30.2606575885
44.3074074074 30.4561780492
45.2481481481 30.5183235712
46.2092592593 30.534624192
47.1898148148 30.507887379
48.1916666667 30.4749184678
49.2148148148 30.4462586354
50.2592592593 30.4469553398
51.325 30.4406382058
52.4157407407 30.4115151594
53.5287037037 30.4003988725
54.6657407407 30.4128975227
55.8240740741 30.3932436642
57.0092592593 30.3973264143
58.2203703704 30.5069510537
59.4592592593 30.4489101148
60.7203703704 30.4461528341
62.0092592593 30.4351516463
63.3259259259 30.3677098984
64.6694444444 30.3543512478
66.0435185185 30.3561619732
67.4435185185 30.3700257707
68.8731481481 30.3494946846
70.337962963 30.3369266046
71.8324074074 30.3476630575
73.3564814815 30.3023738309
74.9111111111 30.2978071304
76.5018518519 30.2956680652
78.1277777778 30.288546204
79.9666666667 30.277390553
81.4796296296 30.2770158841
83.2101851852 30.2634883475
84.9759259259 30.2698470759
86.7777777778 30.2891781247
88.6194444444 30.295047948
90.5018518519 30.2774556979
92.425 30.2832734124
94.3796296296 30.2879064705
96.3981481481 30.3153324602
98.4351851852 30.3055245267
100.527777778 30.3144167101
102.666666667 30.3137105444
104.842592593 30.3264473678
107.064814815 30.3088427231
109.333333333 30.3309823486
111.657407407 30.3368916983
114.037037037 30.3511734543
116.444444444 30.3706465886
118.981481481 30.3845172065
121.453703704 30.3932937096
124.018518519 30.4048357179
126.685185185 30.4212489419
129.435185185 30.4475628983
132.092592593 30.4561370976
137.787037037 30.4780697248
140.722222222 30.4882576245
143.759259259 30.49643475
146.796296296 30.5113895546
149.916666667 30.5387108985
153.046296296 30.5529853667
156.268518519 30.5620594392
159.583333333 30.5864920662
162.990740741 30.6015929161
166.490740741 30.6173105395
169.990740741 30.620884198
173.592592593 30.5897888432
177.277777778 30.6104084075
181.064814815 30.6199738039
184.944444444 30.6499189888
188.824074074 30.6712916136
192.972222222 30.4525128934
197.12962963 30.4882077806
201.268518519 30.5182869532
205.416666667 30.5700219346
209.944444444 30.583787282
214.472222222 30.6415710167
219.0 30.669038806
223.527777778 30.6785159473
228.435185185 30.7574924909
232.972222222 30.7668271552
237.87962963 30.8714390766
243.166666667 30.9354372884
248.074074074 31.1013619695
253.37037037 31.2018281603
259.037037037 31.3346939394
264.333333333 31.4020588829
270.0 31.5375956154
275.675925926 31.608641892
281.722222222 31.7763887508
287.398148148 31.8454513492
293.833333333 31.9460016534
299.888888889 32.0412950288
306.314814815 32.1547363825
312.759259259 32.235572969
319.194444444 32.3758592979
326.009259259 32.5448492511
333.203703704 32.6736367409
340.018518519 32.769299874
347.222222222 32.9044755381
354.796296296 32.9456744754
362.37037037 32.7754396147
369.953703704 32.8106439163
377.916666667 32.9551120169
385.87962963 33.1803265043
393.842592593 33.4639461141
402.185185185 33.6414399107
410.907407407 33.9435910406
419.62962963 33.8189862536
428.361111111 34.2947668482
437.472222222 34.7295395714
446.953703704 34.9499478914
456.444444444 34.987484653
466.333333333 34.9023696898
476.194444444 35.2017157321
486.046296296 35.5950180559
496.648148148 35.9717002419
507.259259259 36.3520179259
517.87962963 36.5863763742
528.5 37.2665403546
539.87962963 37.6327851926
551.259259259 38.1383611993
563.416666667 39.3064132172
574.805555556 39.8784999023
586.962962963 40.9058067552
599.888888889 41.8320945496
612.814814815 42.9029278977
625.75 43.7092455548
638.685185185 45.1991678437
652.388888889 45.4041787937
666.092592593 46.545134092
680.564814815 48.2820429259
695.037037037 50.1798432586
709.518518519 51.4106387961
724.768518519 56.1977576531
740.018518519 71.4918766075
755.268518519 65.6254812388
771.296296296 63.5890413052
788.083333333 67.3677158717
804.87962963 75.1614811594
821.675925926 80.9465012168
1026.57407407 81.6234454019
1135.37037037 73.6584179722
1255.0 60.6872285225
1374.62962963 85.3437383173
1494.25925926 67.4144038398
1613.98148148 150.267450725
1733.7037037 153.827511613
1853.42592593 157.091819856
1973.14814815 160.29570209
2092.96296296 163.511995158
2212.77777778 166.75924293
2332.59259259 170.046350212
2452.40740741 173.372759794
2572.31481481 176.75880235
2692.22222222 180.170570135
2777.87037037 182.616964774
