magnification abell383 abell1423 abell209 abell2261 abell611 clj1226 macs0329 macs0416 macs0429 macs0647 macs0717 macs0744 macs1115 macs1149 macs1206 macs1311 macs1423 macs1720 macs1931 macs2129 ms2137 rxj1347 rxj1532 rxj2129 rxj2248
1.0 74012.2306939 128230.387465 160433.788541 130729.891144 152191.840309 103631.49474 112545.774656 55479.6355715 124548.785157 139794.059758 89296.8570855 143219.224234 127515.426459 33525.368298 138856.21962 121958.755543 64095.6676752 136603.373154 127985.401821 143570.074467 127983.524846 122153.769497 82025.8140038 153564.276081 95754.6435668
2.0 5200.97258604 9145.52985866 10474.0840728 21090.104632 14185.2730927 15848.2619777 20379.0202989 14053.6808053 11054.4245379 24939.2264293 40343.9665246 16378.9032234 14631.1338143 18175.57334 15606.3257443 12215.3946418 11918.0425878 9935.1395043 16124.4624868 18652.5975626 11975.0373099 24857.1040922 10411.0570629 10133.454681 23041.9514104
3.0 1427.78185608 2564.91635796 2817.35736202 7940.89436487 4421.83272292 5928.41004505 8171.43021483 6413.59065359 3393.93773306 9673.09959794 22560.8938998 5462.84652705 4960.29244156 11024.7679195 5178.8463888 3896.37988163 4747.36764947 2855.34829487 5506.47123342 6522.58194187 3694.08855158 10212.8837627 3777.07959675 2765.96369075 10222.9358895
4.0 628.579452927 1150.85355529 1232.53297311 4105.57686854 2098.36606285 3079.4278251 4405.51832279 3697.92233135 1600.34037106 5056.3603273 14297.7082721 2668.47009611 2463.19977837 7326.1316824 2526.1269548 1866.6868868 2529.40382047 1309.02062454 2705.45211139 3262.77232764 1732.89535886 5518.3674275 1975.45927023 1225.92534566 5786.59908118
5.0 348.947697939 649.321493438 683.544278147 2501.87680851 1224.93182656 1892.12766933 2768.27488743 2418.43316642 931.367404608 3093.22717003 9820.57116562 1578.35653939 1478.89486384 5192.22805252 1494.29099011 1094.2130407 1570.11097456 752.296663651 1599.75288299 1956.60823794 1000.78462938 3449.69269107 1237.33173058 687.535295301 3735.13000931
6.0 221.712828493 418.318837652 434.892732809 1684.81318829 807.055694344 1286.2724917 1909.02180343 1711.37413367 612.687183686 2084.50877962 7134.74612569 1045.65715693 992.926056157 3857.16506923 990.77989598 722.092578975 1070.45739994 492.416666884 1057.0283887 1307.51288835 653.049063272 2360.36956615 861.121349384 441.671975118 2617.3516788
7.0 153.701670867 293.483392877 302.225768667 1213.05770147 575.107490991 935.109347085 1400.98505417 1278.19647742 436.240573807 1499.60946309 5402.61616088 746.200098224 717.05696973 2969.66169951 707.897141596 514.716366125 777.461133081 350.27869592 751.661180135 938.450992785 461.379015027 1717.25080892 641.638736408 309.522261053 1940.13383982
8.0 113.183659996 218.375890477 223.212953594 916.122816896 432.767000861 712.963421565 1074.86167437 992.907624742 328.119198057 1130.76447031 4223.40912975 561.021477023 544.894874641 2351.422563 532.983574997 387.161920756 590.923776151 263.826466058 563.01014341 708.382803974 344.531630635 1306.04173548 501.31927295 230.291605299 1498.143516
9.0 87.0943391944 169.580419903 172.305527031 717.051013427 338.882993894 563.191971025 852.542551373 794.677305947 256.865763495 883.366153005 3386.13388112 438.340309981 429.85612367 1904.46877408 417.076378314 302.92584543 464.771648749 207.100575275 438.276501215 555.05998655 267.939274643 1027.18748045 405.499034639 178.933225819 1193.33335835
10.0 69.2881209922 136.00403972 137.519027154 577.010837355 273.511521345 457.209010556 693.879089139 651.131050462 207.274630487 709.399840069 2771.28706045 352.721956851 348.925584454 1571.45347344 336.14943998 244.240194942 375.421823871 167.709459871 351.44700984 447.582885923 214.917385064 829.349970509 336.739459061 143.642719235 974.006321699
11.0 56.5737196212 111.848583194 112.640953789 474.69499572 226.035922257 379.30940126 576.485181383 543.715363777 171.266729769 582.417554348 2307.1555897 290.492201924 289.659817761 1317.05420786 277.294427842 201.616971602 309.785738141 139.130475895 288.515731132 369.2020026 176.620023297 683.878466489 285.457487312 118.274195416 810.772441704
12.0 47.1625517969 93.8445425569 94.1929289349 397.620768514 190.379170246 320.274340297 487.059581107 461.159909715 144.223893565 486.885798835 1948.63847489 243.765667808 244.844022141 1118.57901737 233.070775824 169.612705832 260.124020949 117.661407542 241.402438248 310.194892526 148.003471218 573.760664037 246.013677035 99.372573069 685.903614053
13.0 39.9894614165 80.033678718 80.1044471688 338.080387818 162.855603042 274.397545635 417.285010112 396.288629678 123.348032053 413.1978769 1666.24742901 207.733224784 210.054924863 960.926365775 198.941738572 144.920403731 221.620874885 101.071185449 205.180501878 264.600292714 126.020281195 488.376967456 214.902907039 84.8733818209 588.181736172
