days "AB magnitudes"
1.50666666667 48.0733604532
1.52666666667 35.0998276363
1.54666666667 34.5880461604
1.56666666667 34.6144148269
1.58666666667 34.6121559243
1.60666666667 34.5242791752
1.62666666667 34.5043019459
1.64666666667 34.4762421369
1.66666666667 34.4028749007
1.68666666667 34.380631018
1.70666666667 34.2776322244
1.72666666667 34.2708651635
1.74680555556 34.2586686883
1.76680555556 34.2120655259
1.78666666667 34.1969199397
1.80680555556 34.1814821388
1.82666666667 34.1647496852
1.84680555556 34.1423200914
1.86680555556 34.1173719413
1.88666666667 34.0734838974
1.90666666667 34.0360566468
1.92666666667 34.0535356322
1.94680555556 34.0246979006
1.96666666667 34.0067828768
1.98680555556 33.9567281504
2.00666666667 33.9509181227
2.02680555556 33.953584165
2.04666666667 33.9097136688
2.06666666667 33.8787488503
2.08666666667 33.8627083996
2.10680555556 33.8362225111
2.12666666667 33.8262953011
2.14680555556 33.7974873734
2.16680555556 33.8141892543
2.18680555556 33.7635157909
2.20680555556 33.7727812101
2.22680555556 33.7283369555
2.24680555556 33.7166719909
2.26666666667 33.6965752859
2.28666666667 33.6855640462
2.30666666667 33.6558692609
2.32680555556 33.656843322
2.34666666667 33.6447779048
2.36666666667 33.6316966423
2.38666666667 33.6224349943
2.40680555556 33.5911185332
2.42666666667 33.5952474439
2.44680555556 33.5618685151
2.46680555556 33.5645951208
2.48680555556 33.5586212694
2.50666666667 33.5129816183
2.60138888889 33.4689702768
2.69958333333 33.3858674895
2.80194444444 33.3641899145
2.9075 33.2738798197
3.01722222222 33.2871194917
3.13166666667 33.2331663341
3.24986111111 33.2516211147
3.37291666667 33.2842062557
3.50027777778 33.2426177259
3.63222222222 33.2917573761
3.76972222222 33.2174078783
3.91194444444 33.1730401558
4.05930555556 33.2021174316
4.21263888889 33.1689786562
4.3725 33.093006779
4.53777777778 33.1003562678
4.70819444444 33.0532958887
4.88708333333 33.0015015361
5.07083333333 32.9661214932
5.26305555556 32.9408493831
5.46180555556 32.8906786385
5.66777777778 32.8261710542
5.88152777778 32.768005951
6.10361111111 32.7193091193
6.33444444444 32.6583438093
6.57361111111 32.6022767226
6.82277777778 32.5579198247
7.08041666667 32.5079380046
7.34736111111 32.4635875479
7.625 32.4335156818
7.91347222222 32.3898975792
8.21152777778 32.3549026132
8.58597222222 32.3185707583
8.84513888889 32.2797286284
9.17763888889 32.2532611617
9.52402777778 32.2078507207
9.88388888889 32.1630553062
10.2572222222 32.1153809874
10.6455555556 32.0849502663
11.0473611111 32.0675092591
11.4645833333 32.0954287002
11.8970833333 32.0890301593
12.3484722222 32.1888831385
12.8136111111 32.1935478821
13.2979166667 32.2121486348
13.8013888889 32.2221138317
14.3208333333 32.2306560135
14.8625 32.2488637498
15.425 32.271790993
16.0083333333 32.2812475927
16.6097222222 32.2861138167
17.2388888889 32.2975011108
17.8902777778 32.3412099274
18.5638888889 32.3542643281
19.2666666667 32.3639172423
20.0013888889 32.3603205595
20.7638888889 32.3828038357
21.5513888889 32.3875956281
22.3666666667 32.3994722281
23.2083333333 32.41131909
24.0777777778 32.4704634699
25.0 32.5258305737
25.9236111111 32.5544586205
26.9 32.5726006293
27.9305555556 32.5606881905
28.9888888889 32.5556855124
30.075 32.5829020989
31.2138888889 32.5921044862
32.3819444444 32.5983187267
33.6027777778 32.6316982036
34.8791666667 32.6537628062
36.2111111111 32.6756161223
37.5694444444 32.7065379068
38.9819444444 32.7170215556
40.5041666667 32.7539329458
42.0319444444 32.826727774
43.5652777778 32.8667615819
45.2638888889 32.9121793259
46.9652777778 32.9445472416
48.7513888889 32.998030771
50.5402777778 33.0430906182
52.4944444444 33.0960526445
54.4527777778 33.1244128344
56.4958333333 33.2163256167
58.6236111111 33.3266481086
60.8375 33.3923391052
63.1375 33.5020072927
65.5222222222 33.6238409887
67.9958333333 33.7630552153
70.5555555556 33.9308023103
73.2041666667 34.0446166798
76.0236111111 34.2734218056
78.8486111111 34.5490355697
81.8458333333 35.066775036
84.9333333333 35.5723963476
88.1111111111 36.1547594931
91.4638888889 36.890437364
94.9083333333 37.5289582561
98.5305555556 38.3388244028
102.244444444 39.1091404215
107.319444444 40.2781165419
111.513888889 41.8337072617
115.723611111 44.8881961291
119.940277778 47.3794411483
124.191666667 50.2676576342
128.425 53.9063207431
132.665277778 58.6257557556
139.305555556 95.7974746764
143.944444444 103.346035858
148.819444444 113.626423817
154.569444444 131.576663464
160.875 134.358146219
167.222222222 136.767691952
173.5 139.504527943
179.722222222 142.231206082
186.472222222 144.623912222
193.986111111 147.22185906
201.791666667 149.839395698
209.625 152.366298352
217.486111111 155.096370652
225.361111111 157.811236309
233.277777778 160.304633025
241.208333333 162.964443062
249.166666667 165.607435317
261.138888889 169.381374112
270.041666667 171.849686654
280.458333333 174.219749851
291.083333333 176.426429685
301.722222222 178.931906418
312.388888889 181.36946827
323.083333333 183.831150857
339.166666667 187.465516774
349.916666667 189.952439303
360.694444444 192.421901372
376.902777778 196.131350393
393.152777778 199.856302756
404.027777778 202.306853271
420.361111111 205.945068551
436.75 209.601366333
453.180555556 213.250294487
469.666666667 216.769146518
486.194444444 220.351853119
508.305555556 225.057726785
524.930555556 228.585028181
547.180555556 233.25062008
563.930555556 236.773923703
586.305555556 241.464578892
608.777777778 246.11279529
631.319444444 250.756773295
653.930555556 255.394609756
682.291666667 261.1617559
705.069444444 265.765808314
733.638888889 271.497657237
762.305555556 277.200812025
791.097222222 282.848179148
819.972222222 288.460754204
848.972222222 294.003424563
878.055555556 299.343126317
913.097222222 304.919103587
948.263888889 309.439444891
983.583333333 313.752720323
1019.02777778 318.166111992
1060.55555556 323.49631479
1102.26388889 328.972829717
1138.13888889 333.61720654
1186.18055556 339.234291224
1228.38888889 343.665349431
1276.81944444 348.636104202
1325.47222222 353.691027224
1374.31944444 358.854149717
1423.33333333 364.184098614
1478.75 370.35528752
1534.44444444 376.116276808
1590.69444444 380.838284338
1649.02777778 385.645121418
1716.25 391.379026307
1779.16666667 396.960046146
1844.30555556 403.044035688
1919.44444444 410.329627269
1989.86111111 415.922154287
2062.63888889 420.787199437
2138.19444444 426.096694964
2225.41666667 432.887473241
2306.94444444 440.071255112
2391.52777778 446.506606172
2489.02777778 451.910243082
2580.27777778 457.814761865
2674.72222222 465.580539019
2772.77777778 472.507712714
2885.83333333 478.095042211
2991.52777778 486.615970463
3101.25 493.53586391
3214.86111111 499.200359323
3345.97222222 507.994775654
3468.61111111 517.348372492
