days "AB magnitudes"
2.14166666667 34.7433399514
2.16166666667 34.7445971308
2.18166666667 34.7701314856
2.20166666667 34.7879519982
2.22166666667 34.7840363396
2.24166666667 34.6979888775
2.26166666667 34.6884457686
2.28166666667 34.594410137
2.30166666667 34.6056647262
2.32180555556 34.5971573234
2.34180555556 34.5787043584
2.36166666667 34.5815648843
2.38166666667 34.5738880921
2.40166666667 34.5599605315
2.42180555556 34.540753774
2.44180555556 34.5035102339
2.46180555556 34.4835772729
2.48180555556 34.4580166865
2.50166666667 34.4273925569
2.52194444444 34.4329399066
2.54166666667 34.4042206929
2.56180555556 34.3835172665
2.58180555556 34.3602097946
2.60180555556 34.3547558929
2.62180555556 34.3297698074
2.64166666667 34.2996663673
2.66180555556 34.2968578304
2.68180555556 34.2680587658
2.70180555556 34.2694814496
2.72194444444 34.2400637116
2.74180555556 34.2362916946
2.76180555556 34.2120100521
2.78180555556 34.2021485223
2.80180555556 34.1843604849
2.82180555556 34.1770045223
2.84166666667 34.1570152264
2.86180555556 34.1497128965
2.88194444444 34.1284781744
2.90180555556 34.1247334479
2.92194444444 34.1269175582
2.94194444444 34.0882707295
2.96166666667 34.0840897642
2.98166666667 34.0499694351
3.00166666667 34.0509393479
3.02180555556 34.0658935844
3.04166666667 34.0074905682
3.06180555556 34.0110053777
3.08180555556 34.0235031663
3.10166666667 33.9626628791
3.12166666667 33.9620951002
3.14166666667 33.9996968589
3.25680555556 33.8928146373
3.37583333333 33.8340923644
3.49944444444 33.8339030757
3.6275 33.8087159345
3.76041666667 33.834131894
3.89819444444 33.9566430908
4.04069444444 33.8923898758
4.18875 33.9475571696
4.34194444444 33.9502212513
4.50097222222 33.9228253334
4.66611111111 33.9066936463
4.83652777778 33.8380336902
5.01430555556 33.795691141
5.19694444444 33.7312953996
5.3875 33.6387161767
5.58472222222 33.576263541
5.78986111111 33.5368818145
6.00111111111 33.4875258447
6.22083333333 33.4168986252
6.44819444444 33.349140435
6.68402777778 33.2890167119
6.92875 33.1943341052
7.18291666667 33.1423868473
7.44569444444 33.0909142038
7.71805555556 33.0610387816
8.00069444444 33.0186990676
8.29375 32.9836741494
8.59722222222 32.9485198079
8.91138888889 32.9169988858
9.23763888889 32.8835580462
9.57611111111 32.8408645963
9.92625 32.8013215462
10.2894444444 32.7561884492
10.6666666667 32.7294675155
11.0572222222 32.7085059856
11.4618055556 32.7042210199
11.8813888889 32.7544287116
12.3169444444 32.9319158806
12.7677777778 32.9303928451
13.235 32.8980053641
13.7184722222 32.9023918131
14.2208333333 32.9090469321
14.7416666667 32.9378022703
15.2805555556 32.9625543609
15.8402777778 32.999104418
16.4347222222 33.0115952449
17.0333333333 33.0580017042
17.6486111111 33.076652735
18.2958333333 33.0780460762
18.9597222222 33.0539982306
19.6569444444 33.0353470487
20.3861111111 33.0240222181
21.1333333333 33.0684316302
21.8972222222 33.0752108707
22.6944444444 33.0858209264
23.525 33.0996093257
24.3888888889 33.1286218298
25.2875 33.1547770802
26.2027777778 33.1735753007
27.1680555556 33.1794674525
28.1888888889 33.2225718131
29.2305555556 33.2349693714
30.2777777778 33.2565834601
31.3722222222 33.2514405234
32.5138888889 33.2818937602
33.7055555556 33.3070813317
34.9444444444 33.3177124323
36.2333333333 33.3460202785
37.5708333333 33.3864127796
38.9111111111 33.4054773762
40.3472222222 33.4375962201
41.8333333333 33.5234070096
43.3694444444 33.5682360006
44.9569444444 33.6023517628
46.5944444444 33.6480307337
48.2833333333 33.696751201
50.0694444444 33.7473551853
51.9083333333 33.818001758
53.8 33.8860690986
55.7916666667 34.0136389475
57.7875 34.1181277871
59.9319444444 34.2418820911
62.1305555556 34.3813579762
64.3847222222 34.5505061387
67.2361111111 34.6931511523
69.5472222222 34.9740817148
71.7611111111 35.244241844
74.6555555556 35.8664205349
77.5777777778 36.1917472759
79.9569444444 36.6979350838
82.95 37.4887341317
86.2111111111 38.5377186961
89.1236111111 39.5749154112
92.2305555556 41.037228905
96.1236111111 42.633462543
99.3666666667 44.7159310621
103.365277778 47.6447372655
106.891666667 55.8007687033
110.776388889 65.2770855602
114.681944444 71.3616170874
118.604166667 78.0889862671
123.566666667 87.1046276687
128.388888889 102.960476864
132.297222222 116.726243558
137.698611111 131.437803756
143.166666667 139.950587361
147.25 141.451011981
152.694444444 143.042476604
158.388888889 145.234790235
164.361111111 147.827340034
170.472222222 150.285476642
177.583333333 152.277956843
183.708333333 154.29912948
189.861111111 156.353895732
198.097222222 159.060067304
204.291666667 160.970034417
212.444444444 164.06712718
218.722222222 166.307568975
227.666666667 169.309949862
237.291666667 172.163741416
244.972222222 174.357628413
252.666666667 176.775777657
262.986111111 180.154922451
273.361111111 183.514348564
281.152777778 186.052629967
291.611111111 189.381071304
302.097222222 192.546537188
315.277777778 196.39579492
325.861111111 199.352478839
336.666666667 202.301352089
349.375 204.806502932
363.013888889 207.219809649
376.708333333 209.867509303
390.458333333 212.648082841
404.236111111 215.49785973
418.069444444 218.359797947
435.430555556 222.018463254
449.361111111 224.92521227
466.833333333 228.520066349
484.388888889 232.031240651
502.0 235.642207947
519.666666667 239.192752205
537.402777778 242.763646243
558.777777778 247.040738753
580.236111111 251.489476476
598.180555556 255.166082476
623.402777778 260.385522174
645.111111111 264.890318331
666.902777778 269.411161504
692.430555556 274.679523847
718.069444444 279.925246324
743.805555556 285.083832934
769.652777778 290.098901625
799.319444444 295.453891549
829.111111111 300.060688654
859.027777778 304.002605403
889.069444444 307.787164724
923.027777778 312.084976181
957.138888889 316.288887228
992.152777778 320.656280277
1028.44444444 325.44861933
1066.08333333 330.481587743
1105.08333333 335.733546306
1145.52777778 341.0985473
1187.44444444 346.269722663
1230.88888889 351.059580023
1275.94444444 355.706997886
1322.63888889 360.438762462
1371.05555556 365.322738433
1421.25 370.386199026
1473.33333333 375.619350279
1527.22222222 381.021698725
1583.05555556 386.597267568
1641.11111111 392.407559286
1701.11111111 398.501311259
1763.47222222 404.673976564
1828.05555556 410.219276073
1895.0 415.227634308
1964.30555556 420.260802628
2036.25 425.482854975
2110.83333333 430.915878565
2188.19444444 436.603098923
2268.33333333 442.637364472
2351.38888889 449.164218973
