magnification abell383 abell1423 abell209 abell2261 abell611 clj1226 macs0329 macs0416 macs0429 macs0647 macs0717 macs0744 macs1115 macs1149 macs1206 macs1311 macs1423 macs1720 macs1931 macs2129 ms2137 rxj1347 rxj1532 rxj2129 rxj2248
0.0 133911.29641569 272895.1085452 295092.54726849 206875.71681851 273104.31525005 176903.03238722 185895.96068627 84662.43698195 242179.42883048 222793.23467447 257160.15721053 283906.74158449 206299.36121812 49268.52039226 242200.99209692 238690.03771687 97925.61477857 289489.7307661 226595.44210278 258591.11219324 241381.12823378 193085.43193545 87275.19964835 284452.22074714 137105.18264658
1.0 112036.33198 198954.989439 245112.357593 200295.590693 230292.641968 157590.109211 167934.657787 87290.3291065 191444.642186 212977.719194 138992.441997 217593.640996 190523.778223 51811.7861174 216221.353524 188448.487531 99887.1998608 209107.398238 197817.66267 219027.169081 194924.399964 191113.726038 121684.767553 232201.909066 149563.931653
2.0 7878.97204201 13581.7543345 15748.2436851 31742.6163495 21355.6599108 22984.8639934 31085.4377899 21164.1736068 16305.8396109 37000.7331003 61346.0514135 24253.4126764 22069.4151355 27223.3737785 22890.4395334 17915.5275767 17358.4043913 14845.0022946 23812.6916223 27256.6990267 17906.342465 36871.2161958 15621.7616197 15307.5234544 34774.5670711
3.0 2157.40985371 3770.59217118 4200.95889795 11843.474843 6616.51366547 8445.52572785 12436.4465654 9494.32071748 4945.91575698 14207.4498055 33943.6070154 7987.22937437 7443.61330603 16467.8925397 7452.11889526 5619.3094808 6782.00147299 4235.57196528 8036.91970838 9426.79455784 5483.96591451 14904.3528989 5621.68149589 4155.0892489 15213.0310399
4.0 947.327695614 1688.59135011 1827.83672017 6089.41496579 3123.96608594 4344.30204891 6659.74722853 5426.09608983 2321.87010389 7388.05575238 21382.914928 3869.76491911 3671.1039453 10985.3234253 3606.20688144 2672.82563404 3589.90686025 1936.42365743 3935.90522055 4701.9077354 2562.6697507 8004.21356636 2911.00369153 1831.9869566 8546.90473604
5.0 524.712438978 953.597216977 1009.66010781 3697.26173168 1816.14937503 2652.17837916 4153.08292925 3530.58848954 1349.28899263 4505.64836785 14632.8211146 2275.28275534 2189.71395134 7831.14620789 2125.72554998 1561.44025812 2224.68686143 1111.71390275 2326.8570519 2819.73817611 1476.53482861 4993.16035965 1806.51797241 1022.86781486 5492.15689924
6.0 332.760053199 615.583751122 640.388687577 2483.57851616 1192.57741191 1794.31924046 2842.78063597 2490.58448122 887.466416563 3030.20982109 10605.5532211 1500.3432252 1461.57462084 5854.85930238 1407.45189987 1028.75446396 1517.47401805 727.486100696 1539.06926377 1886.66870006 961.998209388 3415.65848702 1247.10946638 654.651144549 3837.62361153
7.0 230.322442961 432.924561648 443.914856302 1785.04407409 847.484702515 1299.39098371 2071.73815195 1856.54415709 632.18425085 2176.9130258 8018.35635838 1066.57905081 1050.08197411 4536.7414338 1005.26368967 732.788778624 1103.80349825 517.557895909 1096.16509763 1356.53109181 678.911304545 2486.79309565 922.792706976 457.357105421 2839.38689105
8.0 169.384743259 322.942414371 327.170041049 1346.45801178 636.266357449 987.403901068 1579.2493583 1440.42180893 475.870438374 1639.82067121 6262.03983338 799.296910088 794.384797325 3614.73331872 757.062553949 551.074180612 840.659952164 389.941672727 822.502490762 1025.98246887 506.568752043 1893.61474194 716.694577478 339.402730677 2189.86236427
9.0 130.199579973 251.402373815 252.09952537 1053.00045392 497.277354208 777.656930227 1245.18800663 1152.01735556 372.87699705 1280.07491233 5017.66029075 622.755306326 624.220362882 2945.17777228 592.764409679 431.199851039 662.673023577 306.223768294 641.433962165 805.532928365 393.717450356 1491.51222779 576.750874629 263.137799277 1742.94903596
10.0 103.4875068 202.102505932 200.889000412 846.891885503 400.701192748 629.584811731 1007.93336629 943.565013518 301.183744157 1027.37768707 4105.34368386 499.871011953 504.962286266 2444.01185683 478.105253098 347.7349727 536.513152989 248.089537491 515.26115027 650.83640611 315.65866324 1206.18369673 476.858947431 210.853768846 1421.92776481
