days "AB magnitudes"
11.6180555556 31.6482501569
11.6302083333 31.8322884618
11.6415509259 31.3769146865
11.6528935185 31.4742255664
11.6650462963 31.9680334628
11.6763888889 31.2659019594
11.6877314815 31.0735982205
11.6998842593 31.05681596
11.7112268519 31.06894023
11.7233796296 31.0904205179
11.7347222222 31.1299117333
11.7460648148 31.1978230921
11.7582175926 31.2833913134
11.7695601852 31.3724224245
11.781712963 31.4797568663
11.7930555556 31.5415892536
11.8043981481 31.5773887872
11.8165509259 31.5978188062
11.8278935185 31.5848716404
11.8400462963 31.5912882592
11.8513888889 31.5656578688
11.8627314815 31.5784045164
11.8748842593 31.5898178068
11.8862268519 31.5698740941
11.8983796296 31.6004175265
11.9097222222 31.6355753136
11.9210648148 31.6759851239
11.9332175926 31.7351904385
11.9445601852 31.8062522443
11.956712963 31.8624677729
11.9680555556 31.9058559667
11.9793981481 31.9678787481
11.9915509259 32.0075768041
12.0028935185 32.0836649405
12.0150462963 32.101710927
12.0263888889 32.1359700157
12.0377314815 32.1581612123
12.0498842593 32.1548847262
12.0612268519 32.1623164142
12.0733796296 32.1392583155
12.0847222222 32.1990852754
12.0960648148 32.2551530795
12.1082175926 32.2933825728
12.1195601852 32.3461766083
12.131712963 32.3800407053
12.1430555556 32.399967579
12.1543981481 32.4310119109
12.1665509259 32.4282005171
12.1778935185 32.4257604153
12.1900462963 32.4227356775
12.2013888889 32.5192407969
12.5287037037 32.5078381037
12.8649305556 32.2413371722
13.2100694444 32.3374399329
13.5641203704 32.3838690362
13.9278935185 32.4129611554
14.3013888889 32.4531572723
14.6854166667 32.4098692351
15.0799768519 32.3560803266
15.4834490741 32.3329216748
15.8990740741 32.3108903881
16.3268518519 32.2622479392
16.7643518519 32.2552102002
17.2131944444 32.2334085234
17.675 32.205291098
18.1497685185 32.1645208129
18.6366898148 32.1460571274
19.1357638889 32.1167263672
19.6494212963 32.0809051859
20.1768518519 32.2530505942
20.7172453704 32.1529872799
21.2746527778 32.0899430318
21.8450231481 32.0316828471
22.4315972222 32.0032530611
23.0335648148 31.9628765784
23.6493055556 31.9164235375
24.2853009259 31.8885864651
24.9358796296 31.8654085846
25.6059027778 31.837960572
26.2921296296 31.8250808102
26.9961805556 31.8176967858
27.7221064815 31.7801496454
28.4642361111 31.758292692
29.2282407407 31.7645616165
30.0133101852 31.7329706289
30.8186342593 31.7244361547
31.6450231481 31.7205245086
32.493287037 31.7067002685
33.3650462963 31.6831000207
34.2603009259 31.6981697645
35.1782407407 31.6801638317
36.1221064815 31.6689693987
37.0918981481 31.6638528086
38.0868055556 31.6716818656
39.1076388889 31.6392170401
40.1568287037 31.6600112438
41.2376157407 31.6476573853
42.3427083333 31.6429005631
43.4802083333 31.6542296128
44.6914351852 31.6576090683
45.8686342593 31.6518768756
47.0993055556 31.6417229595
48.3324074074 31.6513645639
49.6708333333 31.6625527383
50.9606481481 31.6670999494
52.3565972222 31.6788617506
53.7549768519 31.6928898882
55.2084490741 31.7035644564
56.6643518519 31.7085817201
58.1761574074 31.7463047102
59.7422453704 31.7617000185
61.3650462963 31.8149399074
62.9902777778 31.8297519781
64.6722222222 31.87555241
66.4100694444 31.895276789
68.2038194444 31.9223881298
70.0550925926 31.9546294596
71.9096064815 31.9857995876
73.8208333333 32.0141914302
75.8430555556 32.0496788369
77.8693287037 32.0710083984
79.953125 32.1473727174
82.0960648148 32.1772496829
84.2916666667 32.1916221393
86.5520833333 32.2519993297
88.869212963 32.3198832037
91.2511574074 32.3917381031
94.6134259259 32.1751804275
97.125 32.2236792152
99.587962963 32.2788147807
102.059027778 32.3425831744
104.521990741 32.4629056719
107.001157407 32.5645020771
110.711805556 32.7100717543
113.215277778 32.844507711
116.237268519 33.0346586158
119.259259259 33.1713179346
122.443287037 33.3500914927
125.716435185 33.6215886634
129.086805556 33.8317897053
132.497685185 34.0088989506
135.940972222 34.30251309
139.359953704 34.533766547
144.512731481 34.9664812441
147.956018519 35.1432748608
151.399305556 35.4566137391
154.956018519 35.838967747
160.47337963 36.5403353793
164.248842593 36.8550515977
168.032407407 37.6118165973
174.197916667 38.230420329
178.645833333 38.8379630201
183.725694444 38.9871063348
188.886574074 39.6535679767
191.471064815 39.913131721
196.648148148 40.5890087654
204.44212963 41.4361445874
209.643518519 42.2755924668
214.780092593 43.2483429039
219.908564815 43.4399979886
225.053240741 44.1044780379
232.766203704 45.0239148111
238.259259259 46.1659636995
243.865740741 46.6416983738
249.561342593 48.0694630363
258.449074074 48.8389442329
264.703703704 49.4279579896
271.168981481 50.2713231211
277.650462963 49.7966921371
287.388888889 50.860978216
293.902777778 52.0610087802
300.424768519 53.2943449375
310.236111111 55.2702585755
316.790509259 57.4423723854
326.650462963 59.6894752302
336.534722222 64.0201509421
343.145833333 62.5725910905
353.078703704 63.4127840406
363.03587963 64.0431448541
373.017361111 64.7372990563
383.023148148 65.3170664202
393.061342593 65.8874246165
403.115740741 66.6302306335
413.259259259 69.9413170243
423.880787037 67.2027124328
435.693287037 65.0354055101
448.34837963 62.6636475198
461.505787037 66.3040255525
474.6875 71.6637719777
487.90162037 71.9970810391
496.724537037 70.6717335545
509.987268519 71.7635174556
527.71412037 75.4911253921
541.041666667 121.381870689
554.393518519 110.849749885
567.769675926 103.321554053
585.650462963 96.3691410343
599.083333333 137.990137298
617.045138889 138.888346507
630.534722222 139.567333076
648.569444444 140.413046904
666.644675926 141.19772494
684.760416667 141.957358286
702.916666667 142.703297387
721.113425926 143.467244016
739.342592593 144.26366609
762.189814815 145.35230711
780.508101852 146.256166967
803.460648148 147.35866063
821.851851852 148.181682728
844.94212963 149.132920868
868.032407407 150.100954771
891.203703704 151.132466435
914.375 152.247234652
937.708333333 153.422518493
965.659722222 154.7914719
989.074074074 155.831148029
1017.1875 156.964129116
1045.30092593 158.100546261
1073.57638889 159.327109478
1101.93287037 160.679536291
1130.28935185 162.10226575
1158.72685185 163.46173318
1232.69675926 162.730615451
1280.65972222 164.75267184
1328.78472222 166.770672222
1376.99074074 168.76533524
1425.43981481 170.722507948
1474.05092593 172.667868665
1522.74305556 174.595325768
1571.59722222 176.495047925
1620.61342593 178.366564167
1669.71064815 180.204479257
1718.96990741 182.001254254
1768.3912037 183.762332204
1817.89351852 185.482219861
1867.55787037 187.167852847
1917.30324074 188.820169009
1967.21064815 190.44595324
2067.34953704 193.611069072
2117.66203704 195.144600186
2167.97453704 196.647260857
2218.44907407 198.13830578
2269.08564815 199.642274476
2319.80324074 201.178365571
2370.60185185 202.755570853
