magnification abell383 abell1423 abell209 abell2261 abell611 clj1226 macs0329 macs0416 macs0429 macs0647 macs0717 macs0744 macs1115 macs1149 macs1206 macs1311 macs1423 macs1720 macs1931 macs2129 ms2137 rxj1347 rxj1532 rxj2129 rxj2248
1.0 128268.586697 229350.365733 282000.572434 230071.894045 264387.680424 179214.116823 193164.411173 101200.732827 219012.845447 242256.712443 160881.562122 249837.948515 218930.822832 60872.2113952 249608.745021 217939.353492 116492.09914 235759.021393 231895.803834 256588.450453 223252.024551 216628.840307 140538.53795 268022.035686 171003.289476
2.0 9004.27747023 15402.8058756 17946.6788697 36228.3598602 24280.7365898 25951.4597994 35532.5231949 24168.8954851 18497.1969266 42036.1905357 70508.1428666 27350.9802478 25012.9163393 31116.6648734 25896.7136095 20207.1023986 19456.6970844 16993.0145029 26754.0221284 30319.976965 20375.8819731 42286.4757959 17670.2207012 17378.2882951 39823.717037
3.0 2461.94644021 4260.73864232 4768.67829978 13473.010274 7496.87570564 9477.25921816 14139.8119601 10776.2627221 5589.99893143 16115.1911242 38825.9208761 8946.32337464 8398.35425795 18708.2067151 8362.30213406 6290.29569161 7522.71738799 4869.1427552 8939.63900213 10382.7469437 6222.86821073 17085.5750866 6312.92735445 4696.57131477 17406.0288308
4.0 1079.89868818 1907.06201657 2070.26622477 6913.28519231 3533.74550744 4851.0430114 7540.64207998 6138.91950222 2618.86375439 8368.58672927 24375.9662743 4319.71641973 4133.64691849 12468.6778753 4029.51261815 2983.33018148 3970.26943643 2228.64136971 4369.27753117 5176.88196077 2903.30406125 9152.35524886 3257.7447526 2067.94870708 9766.18283979
5.0 597.670114542 1077.50477602 1141.91126945 4191.77866852 2052.48642636 2949.58159124 4687.15622549 3986.77651199 1519.94772897 5097.77950885 16639.7411257 2534.96131961 2463.08438543 8896.59854387 2369.44741424 1740.9297359 2459.92185789 1279.34311131 2585.13408565 3112.74042553 1671.03992756 5693.22317278 2017.91653205 1154.30557085 6267.32858848
6.0 378.803761721 696.179869776 723.51053853 2813.05453156 1347.02278825 1988.7565419 3200.00006839 2809.02084131 998.884396415 3425.14683747 12037.6094842 1669.65458469 1643.11961993 6661.95216899 1566.52522281 1146.69657207 1679.55724344 836.596369954 1713.14730326 2090.17196541 1087.90894955 3884.11282352 1391.49861666 738.898119514 4373.77606649
7.0 262.07454544 490.097610233 501.129425366 2020.4368242 956.903491724 1436.01514085 2327.11535403 2092.29589312 711.156900475 2458.63838067 9088.01695584 1186.10394166 1180.13466121 5171.55015487 1117.90386527 816.90580356 1223.51430275 594.589147988 1222.97288813 1508.52710352 767.339316767 2821.03444611 1028.91387627 516.394808289 3232.31200123
8.0 192.670638876 365.965265413 369.096992716 1523.2279798 718.249521563 1088.47171701 1770.80310429 1622.52295027 535.116053632 1850.75317851 7089.50728925 888.48815282 892.598551077 4128.25607748 841.477195265 614.538057494 933.412059538 447.462457391 919.884257526 1145.12441314 572.298219428 2143.55678275 798.747755333 383.373603076 2490.23117385
9.0 148.060767604 285.177614742 284.251007021 1190.78832022 561.264426163 855.353999398 1394.17397569 1297.25134601 419.196353457 1443.86920021 5675.76835109 692.074757903 701.312901792 3369.76081674 658.704699756 481.068772155 737.081261471 350.962392065 719.105304572 902.161065067 444.647102459 1685.23627638 642.580287969 297.355039099 1980.05963712
10.0 117.662034564 229.470186353 226.402975205 957.440360382 452.212518002 691.123243586 1127.13909688 1062.32508705 338.5446631 1158.23652954 4640.66015103 555.441614788 567.282264971 2801.26264076 531.261862694 388.138259002 597.796487291 283.974791897 578.992231452 731.206528344 356.387360865 1360.63858041 531.167864682 238.370007328 1613.89326506
11.0 95.9866103103 189.301201725 185.113003073 787.257345154 373.178100716 570.884315076 930.780104173 886.874229394 279.983819732 950.035860511 3861.13142297 456.407582983 469.491262941 2364.35634162 438.64476784 320.6512782 495.250022361 235.389734572 477.157363175 606.031548291 292.701298361 1122.2589999 448.515197236 196.0446482 1341.94515269
12.0 79.9627800477 159.290014677 154.548059385 659.247572732 313.927908382 480.085892252 782.070739116 752.227883997 235.993131984 793.584354727 3260.13403511 382.224868765 395.792193889 2021.46003302 369.072504266 269.967667112 417.460257487 198.903135763 400.691814249 511.408602829 245.152855159 941.973311635 385.250690847 164.558300653 1134.27844744
13.0 67.7634508545 136.212634124 131.242432698 560.478956772 268.267453404 409.754286338 666.673765476 646.539994167 202.021090797 673.026212332 2787.47879413 325.14159674 338.758998467 1747.50002061 315.379626559 230.847368288 356.980327265 170.716865215 341.723665222 437.992853339 208.651295984 802.267838702 335.573638994 140.439009148 972.000681197
14.0 58.2466911272 118.039577466 113.031359369 482.630669162 232.265247007 354.106990837 575.279405459 561.992110873 175.178385728 578.145079199 2409.36591001 280.221301764 293.639580032 1525.22826812 273.000585137 199.958851187 308.979832819 148.42823883 295.227759024 379.783561648 179.975206573 691.7727803 295.728861991 121.510137764 842.704081795
15.0 50.6688597871 103.4399548 98.5054286731 420.15078161 203.325952251 309.278740838 501.626240198 493.250272669 153.556700168 502.118430981 2102.37674873 244.197316553 257.274970291 1342.46495964 238.911717508 175.099297356 270.211691925 130.454615265 257.871582598 332.779202894 157.003999017 602.844842438 263.192909871 106.349646474 737.962223767
