days "AB magnitudes"
1.42777777778 34.9450407809
1.44111111111 34.7560652917
1.45444444444 34.9777050989
1.46777777778 34.9609097932
1.48111111111 34.9778831834
1.49444444444 34.8975202052
1.50777777778 34.9072635821
1.52111111111 34.9021565056
1.53444444444 34.8498880054
1.54787037037 34.8365875854
1.5612037037 34.8202557601
1.57444444444 34.798697986
1.58777777778 34.7771067464
1.60111111111 34.7456767287
1.61453703704 34.7144381331
1.62787037037 34.7205543748
1.6412037037 34.6946044771
1.65453703704 34.6550152568
1.66777777778 34.6090527855
1.6812962963 34.5847122344
1.69444444444 34.5819000359
1.70787037037 34.5509220059
1.7212037037 34.5229852125
1.73453703704 34.5182106785
1.74787037037 34.4906610774
1.76111111111 34.4611351245
1.77453703704 34.4556566517
1.78787037037 34.4213510895
1.8012037037 34.4244390175
1.81462962963 34.3811741235
1.82787037037 34.3815398014
1.8412037037 34.3345296945
1.85453703704 34.3321571921
1.86787037037 34.2814795683
1.8812037037 34.2842277755
1.89444444444 34.2315219667
1.90787037037 34.2319976516
1.9212962963 34.1847078179
1.93453703704 34.1859252828
1.94796296296 34.1948803819
1.9612962963 34.1400881592
1.97444444444 34.1367572666
1.98777777778 34.1069535219
2.00111111111 34.1045854549
2.01453703704 34.1077897892
2.02777777778 34.0769019443
2.0412037037 34.0739907947
2.05453703704 34.0688769511
2.06777777778 34.0477096014
2.08111111111 34.0409108509
2.09444444444 34.0484989165
2.1712037037 33.9736133255
2.25055555556 33.9495459493
2.33296296296 33.9052513286
2.41833333333 33.8758527528
2.50694444444 33.809871368
2.5987962963 33.7770844622
2.6937962963 33.7681745674
2.7925 33.688066965
2.89462962963 33.6563896379
3.00064814815 33.5845827659
3.11074074074 33.5501267829
3.22435185185 33.5004136579
3.34287037037 33.4619851084
3.46462962963 33.4304007727
3.59166666667 33.4031204675
3.72314814815 33.3520571961
3.85990740741 33.2539694582
4.00074074074 33.2649612001
4.14722222222 33.227461812
4.2987962963 33.188979245
4.45601851852 33.15799414
