days "AB magnitudes"
7.03333333333 35.3501219157
7.04305555556 30.9107840435
7.05347222222 31.4655048216
7.06319444444 31.2046377237
7.07361111111 31.2963828932
7.08333333333 31.3346208441
7.09305555556 31.4053091657
7.10347222222 31.4591514514
7.11319444444 31.5167853488
7.12361111111 31.6076424767
7.13333333333 31.7013596901
7.14305555556 31.7706633241
7.15347222222 31.8462959182
7.16319444444 31.8742310436
7.17361111111 31.8723379052
7.18333333333 31.8407169307
7.19305555556 31.8039637226
7.20347222222 31.8082943737
7.21319444444 31.772239198
7.22361111111 31.7779231998
7.23333333333 31.8022621391
7.24305555556 31.8737088986
7.25347222222 31.9528683461
7.26319444444 32.0168953692
7.27361111111 32.0925348522
7.28333333333 32.1464736744
7.29305555556 32.1854564288
7.30347222222 32.2515608412
7.31319444444 32.2856858621
7.32361111111 32.317840478
7.33333333333 32.3236573433
7.34305555556 32.3440982339
7.35347222222 32.3122684357
7.36319444444 32.3253369571
7.37361111111 32.314968563
7.38333333333 32.2720111084
7.39305555556 32.3142224616
7.40347222222 32.3346305929
7.41319444444 32.3555536729
7.42361111111 32.3727851853
7.43333333333 32.3972625969
7.44305555556 32.4127551115
7.45347222222 32.4365600278
7.46319444444 32.3677947098
7.47361111111 32.3690136205
7.48333333333 32.365696527
7.49305555556 32.3589621181
7.50347222222 32.3535103206
7.51319444444 32.3586858862
7.52361111111 32.3553711961
7.53333333333 32.3457855577
7.74791666667 32.3962642892
7.96875 32.1980309666
8.19652777778 32.1800565273
8.42986111111 32.1735849151
8.67083333333 32.1012754687
8.91805555556 32.0644181114
9.17222222222 32.0405121771
9.43333333333 32.0053204652
9.70277777778 31.9555057909
9.97847222222 31.9016085939
10.2638888889 31.9117729717
10.55625 31.8711403134
10.8569444444 31.8131053561
11.1673611111 31.8266643505
11.4854166667 31.763552457
11.8125 31.706394227
12.1486111111 31.6885250438
12.4951388889 31.6502529276
12.8513888889 31.6330075434
13.2180555556 31.5894819305
13.5951388889 31.575725938
13.9833333333 31.5470601325
14.38125 31.5073948188
14.7909722222 31.5110524946
15.2125 31.6310786795
15.6486111111 31.5875213257
16.0930555556 31.524556825
16.5527777778 31.5034859095
17.0243055556 31.4392630576
17.5083333333 31.3947176732
18.0083333333 31.3678678739
18.5222222222 31.3463919793
22.0361111111 31.1540463476
22.55 31.1199452341
23.1923611111 31.0866784732
23.8548611111 31.0350224276
24.5361111111 31.0038021138
25.2958333333 30.9456962379
25.9527777778 30.9046285308
26.69375 30.8847167679
27.4541666667 30.8450491517
28.2361111111 30.810144314
29.0409722222 30.8010588754
29.8701388889 30.7682965022
30.7222222222 30.7757638571
31.5979166667 30.7535320636
32.5180555556 30.7064437487
33.4520833333 30.6921407255
34.3902777778 30.6920604996
35.3986111111 30.6756487277
36.4083333333 30.6916262557
37.4194444444 30.6642028522
38.4993055556 30.6735880183
39.58125 30.6723950049
40.7319444444 30.6606033947
41.8840277778 30.6598433046
43.10625 30.6440872982
44.3298611111 30.64902872
45.5555555556 30.6599802457
46.8506944444 30.6421737376
48.2166666667 30.660130499
49.5840277778 30.6708996282
51.0229166667 30.7135534215
52.4638888889 30.7195632657
53.9069444444 30.7533033371
55.4902777778 30.7723170487
57.0756944444 30.8012602802
58.6645833333 30.8551767059
60.325 30.8853960965
62.0576388889 30.9372958292
63.8625 31.0054159537
65.6715277778 31.0296064956
67.5527777778 31.0831139951
69.4375 31.140895322
71.4652777778 31.2349778335
73.5 31.3106941692
75.5347222222 31.323474616
77.7152777778 31.3772855528
79.8958333333 31.4716599688
82.2291666667 31.5114624057
84.5625 31.5591914543
86.9722222222 31.6159460515
89.4583333333 31.7271704625
92.0277777778 31.830593087
94.5902777778 31.9263823782
97.3125 32.0276919449
100.104166667 32.117521361
102.902777778 32.2985733673
105.854166667 32.4320835339
108.881944444 32.5293001397
111.993055556 32.7043688149
115.180555556 32.8693374773
118.444444444 32.9993907445
121.868055556 33.2364197742
125.298611111 33.4168547506
128.881944444 33.4594945644
132.541666667 33.7714440395
136.368055556 33.9935100853
140.201388889 34.192521936
144.1875 34.4794091588
148.333333333 34.8314073961
152.5625 35.1397032958
156.895833333 35.3320712678
161.402777778 35.7026420353
166.006944444 36.1328198313
170.701388889 36.5778512646
175.583333333 36.7687373762
180.576388889 37.2189314805
185.770833333 37.6802529203
191.069444444 38.0263884274
196.479166667 38.3351238597
202.048611111 38.8079518554
207.861111111 39.1818833065
213.805555556 39.3503472577
219.888888889 39.5933453768
226.493055556 39.8168756683
233.513888889 40.6851961159
239.576388889 40.5830013821
246.736111111 41.3574556784
253.881944444 41.6611689254
261.055555556 41.9678644392
268.4375 42.2899504596
275.902777778 42.3727202753
283.381944444 42.2291855371
291.951388889 42.5603517142
299.472222222 42.6537628743
308.125 42.5677930107
316.909722222 42.3159376762
326.909722222 42.6609680366
335.9375 43.0284876278
345.291666667 43.1959228926
354.701388889 43.3135154372
365.902777778 43.7641271879
376.104166667 43.6779876806
386.604166667 42.8718114327
397.395833333 42.1851407212
408.5 42.9261397799
419.916666667 43.517201901
431.659722222 43.8274026027
