magnification abell383 abell1423 abell209 abell2261 abell611 clj1226 macs0329 macs0416 macs0429 macs0647 macs0717 macs0744 macs1115 macs1149 macs1206 macs1311 macs1423 macs1720 macs1931 macs2129 ms2137 rxj1347 rxj1532 rxj2129 rxj2248
0.0 109649.5896454 223518.9978043 241558.92077669 168888.52723078 223231.85106855 142722.2435071 151186.73525748 68893.29999313 197773.07618555 181156.36864418 214364.19182344 231602.29139885 168223.22565812 41376.85389964 197348.21163754 194635.21920446 79331.33410598 236894.49348978 185031.88571268 210575.12715758 197346.29896797 156920.66034191 70930.2729334 232810.97951353 111540.86535121
1.0 92106.1851295 161344.757277 200901.294813 164796.233492 190231.292313 127989.079009 139680.435941 70844.7974602 155938.896285 174769.905217 112343.845214 177851.22512 158305.018867 43533.5001847 174665.360975 152996.629266 79904.7525083 169617.919826 160012.517674 181035.711258 160579.680611 154727.510403 100716.58006 191709.105862 119883.6662
2.0 6500.45394964 11337.5833552 13040.5459575 26186.8946748 17670.7302424 19602.519867 25467.2370302 17443.8455975 13653.9032598 30923.2171126 50651.263462 20304.3601147 18235.3956926 22074.651612 19273.7371512 15054.8851937 14748.5282267 12381.9537435 19999.4125664 22839.0182879 14846.7888192 30734.4944554 12983.7006062 12641.695773 28900.3369423
3.0 1783.88315522 3167.40809744 3495.41853052 9806.97707227 5488.79832663 7288.38781133 10205.2789077 7888.16811147 4173.7438958 11939.5647316 28218.464298 6748.06268742 6165.46640564 13281.9244963 6347.9586958 4770.65199425 5843.9537742 3554.3441804 6807.43004969 7932.26058017 4561.89273647 12534.8147021 4699.40746665 3440.42990768 12772.7042801
4.0 784.47861691 1419.70854311 1525.37075224 5057.81766431 2597.35664278 3761.16025673 5490.01390089 4530.78981532 1964.38012938 6222.41019503 17825.5388801 3284.99590985 3051.33445634 8867.38763363 3083.86101046 2277.889923 3102.01607911 1626.48150789 3338.71039371 3962.69672242 2136.24606157 6754.16266821 2445.50801974 1520.69675424 7200.54345952
5.0 434.973336971 801.009916063 844.335023762 3078.35960339 1512.87566614 2297.138111 3440.89313295 2958.1584894 1142.23664237 3798.3929904 12211.9445477 1937.03990764 1826.23289718 6336.71063035 1819.69243975 1332.58815955 1920.26385811 933.057122719 1972.05035659 2377.66895644 1232.66686126 4218.13913972 1523.84621148 850.892509355 4631.18974144
6.0 276.064627164 516.267601147 536.369188944 2071.7884299 995.033078863 1553.23339831 2366.70945143 2091.92526847 751.100028262 2555.58089941 8853.70518044 1279.75747097 1222.72290468 4750.48399584 1204.57655096 878.2469291 1306.47504683 609.740774002 1302.08485866 1590.91879504 804.009302512 2885.80540661 1055.5234701 545.573117764 3235.40248611
7.0 191.191730688 362.429779573 372.271447546 1491.32002059 708.075225498 1123.81780309 1732.51470678 1562.22711653 534.703613462 1836.19036765 6693.1310823 911.00999061 880.883241234 3690.50990464 859.696968235 625.444489826 947.380309688 433.116890072 925.46422681 1143.61701773 567.911054616 2100.16497151 783.226819646 381.734540366 2392.13730917
8.0 140.669004333 269.868475697 274.648544928 1126.24376691 532.23092323 853.217704386 1326.04859512 1213.74730571 402.164069017 1383.17387438 5225.29104855 683.411390912 667.996963226 2947.23342437 646.77266759 470.123524976 719.199796289 325.813036622 692.949608492 864.628547049 424.04606643 1598.1126604 609.737129218 283.648817244 1843.20247802
9.0 108.162870066 209.720099354 211.811887873 881.61061552 416.395143199 671.4367474 1049.4077463 971.750704099 314.842685012 1079.67627108 4184.93728876 532.89076832 526.024575416 2406.0492085 505.841410958 367.636927042 565.134409033 255.482344013 539.292657055 678.54641367 329.771411175 1257.71456855 491.65940409 220.152156081 1465.53154911
