search_number cluster search_epoch_program_id last_epoch_mjd search_epoch_mjd effective_cadence reddest_filter limiting_mag_5sigma_ab note
19 Abell2744 13495 56590 56624 34 F160W 28.4 HFF2-HFF1
25 MACSJ0416 13496 56197 56870 673 F160W 28.4 HFF1-CLASH
26 MACSJ0416 13496 56870 56901 31 F160W 28.4 HFF2-(HFF1+CLASH)
40 MACSJ1149 13459 56713 56981 268 F160W 28.4 HFF1-CLASH
41 MACSJ1149 13504 56981 57029 48 F160W 28.4 HFF2-(HFF+CLASH+GLASS)
32 MACSJ0717 13498 56707 57063 356 F160W 28.4 HFF1-(CLASH+GLASS)
33 MACSJ0717 13498 57063 57124 61 F160W 28.4 HFF2-(HFF1+CLASH+GLASS)
